sym,date,open,high,low,close,volume
BAC,2023.03.06,31.85,32.15,31.62,31.71,36646700
BAC,2023.03.07,31.49,31.54,30.51,30.7,52855300
BAC,2023.03.08,30.38,30.67,30.18,30.29,40045600
BAC,2023.03.09,30.03,30.13,28.2,28.41,112457900
BAC,2023.03.10,28.21,28.88,26.9,28.16,165330900
BAC,2023.03.13,26.9,27.65,25.93,26.52,218403300
BAC,2023.03.14,27.9,27.99,26.49,26.76,154255800
BAC,2023.03.15,25.94,26.57,25.75,26.5,131104400
BAC,2023.03.16,26.4,27.42,26.15,26.95,108348800
BAC,2023.03.17,26.66,26.66,25.7,25.88,130665500
BAC,2023.03.20,26.27,26.45,25.72,25.82,81441200
BAC,2023.03.21,26.64,26.96,26.52,26.6,84854800
BAC,2023.03.22,26.71,26.74,25.71,25.71,76925900
BAC,2023.03.23,26.05,26.13,24.92,25.09,105335900
BAC,2023.03.24,24.75,25.39,24.49,25.25,96872700
BAC,2023.03.27,25.98,26.65,25.97,26.5,102469800
BAC,2023.03.28,26.4,26.65,26.03,26.16,63416500
BAC,2023.03.29,26.5,26.77,26.27,26.67,62666400
BAC,2023.03.30,26.9,27.04,26.15,26.33,67427100
BAC,2023.03.31,26.63,26.68,26.29,26.61,56482100
BAC,2023.04.03,26.64,26.96,26.36,26.6,51996800
BAC,2023.04.04,26.56,26.65,25.73,26.03,56233300
BAC,2023.04.05,25.73,25.97,25.55,25.71,47799400
BAC,2023.04.06,25.79,26.06,25.7,25.9,41216600
BAC,2023.04.10,25.74,26.14,25.72,25.99,40572700
BAC,2023.04.11,26.07,26.75,26.01,26.71,58761200
BAC,2023.04.12,26.68,26.99,26.39,26.5,44313300
BAC,2023.04.13,26.57,26.64,26.27,26.57,52261400
BAC,2023.04.14,27.26,27.79,27.21,27.46,81110800
BAC,2023.04.17,27.7,28.29,27.35,28.25,83704400
BAC,2023.04.18,28.65,28.77,27.72,28.43,114498800
BAC,2023.04.19,28.03,28.1,27.71,27.97,65594200
BAC,2023.04.20,27.76,28.12,27.7,27.82,43193800
BAC,2023.04.21,27.68,27.89,27.36,27.79,44759000
BAC,2023.04.24,27.71,27.82,27.53,27.69,28020300
BAC,2023.04.25,27.4,27.47,26.81,26.83,49718800
BAC,2023.04.26,26.76,26.92,26.33,26.46,45848400
BAC,2023.04.27,26.53,27.05,26.53,26.88,33060100
BAC,2023.04.28,26.54,27.38,26.52,27.24,45592500
BAC,2023.05.01,27.44,27.48,26.98,27.02,34076800
BAC,2023.05.02,26.84,26.85,25.78,26.2,70797700
BAC,2023.05.03,26.2,26.51,25.87,25.92,51139500
BAC,2023.05.04,25.66,25.87,24.96,25.11,82173800
BAC,2023.05.05,25.7,25.95,25.56,25.78,50087100
