sym,date,open,high,low,close,volume
COP,2023.03.06,97.24,99.06,96.8,99.03,6200900
COP,2023.03.07,98.15,98.45,96.42,97.3,4973200
COP,2023.03.08,96.71,98.1,95.59,96.92,4576800
COP,2023.03.09,97.55,98.75,95.23,95.64,5191600
COP,2023.03.10,95.57,97.01,93.64,94.2,5313100
COP,2023.03.13,92.19,93.62,90.0,91.0,8789700
COP,2023.03.14,91.34,94.38,90.04,91.62,7090800
COP,2023.03.15,88.06,89.22,84.59,86.08,10661200
COP,2023.03.16,83.17,87.22,82.73,87.13,10111500
COP,2023.03.17,87.09,87.63,84.51,85.32,17056000
COP,2023.03.20,85.72,87.58,85.61,86.92,7932900
COP,2023.03.21,88.66,90.47,88.58,90.13,6770200
COP,2023.03.22,90.39,91.37,88.84,88.91,5635500
COP,2023.03.23,89.04,90.17,86.32,87.15,5866400
COP,2023.03.24,85.47,86.68,84.3,86.26,8385900
COP,2023.03.27,87.05,89.03,86.41,88.11,6049700
COP,2023.03.28,87.86,89.76,87.7,89.06,3792000
COP,2023.03.29,90.62,91.22,89.74,90.72,7596300
COP,2023.03.30,91.5,91.73,89.92,90.26,5461100
COP,2023.03.31,90.77,90.86,89.98,90.23,7708800
COP,2023.04.03,95.61,99.26,95.5,98.6,12394300
COP,2023.04.04,98.52,98.92,95.59,96.68,5425500
COP,2023.04.05,97.23,98.11,96.33,98.0,5806800
COP,2023.04.06,97.22,97.99,96.3,96.64,5087800
COP,2023.04.10,97.35,98.23,96.05,96.36,4374700
COP,2023.04.11,96.49,97.5,95.94,97.09,4812200
COP,2023.04.12,98.66,99.21,97.69,97.8,8108200
COP,2023.04.13,98.17,99.95,97.42,99.17,7160100
COP,2023.04.14,99.57,100.06,98.33,98.68,5052100
COP,2023.04.17,97.13,97.94,95.97,96.05,6278800
COP,2023.04.18,95.49,96.13,94.68,95.45,7745300
COP,2023.04.19,94.45,96.23,94.13,95.73,4717500
COP,2023.04.20,94.08,94.49,92.88,94.38,5351600
COP,2023.04.21,94.68,94.77,92.43,93.0,5279000
COP,2023.04.24,92.72,94.54,92.56,94.27,5215800
COP,2023.04.25,92.4,93.14,91.38,92.85,5355800
COP,2023.04.26,92.16,92.88,90.63,91.37,4295000
COP,2023.04.27,91.36,92.7,90.77,92.07,4196700
COP,2023.04.28,91.47,94.34,91.24,93.58,6638200
COP,2023.05.01,92.38,93.68,91.97,93.25,3644900
COP,2023.05.02,91.75,92.21,88.66,89.71,8100100
COP,2023.05.03,88.06,88.75,87.04,87.39,9085100
COP,2023.05.04,87.49,89.6,87.14,88.55,6840000
COP,2023.05.05,91.97,92.4,89.98,91.28,5566700
COP,2023.05.08,92.85,93.45,91.49,91.77,5058900
COP,2023.05.09,90.96,93.33,90.9,92.34,4896100
COP,2023.05.10,92.76,93.0,90.54,91.37,5285900
COP,2023.05.11,89.93,91.06,89.63,90.85,5671700
COP,2023.05.12,91.53,91.81,89.77,90.43,5004400
COP,2023.05.15,90.8,91.83,90.01,91.68,5838100
COP,2023.05.16,91.3,91.93,89.06,89.65,4822200
COP,2023.05.17,91.0,92.75,90.1,92.06,5013700
COP,2023.05.18,91.6,92.19,90.73,92.09,5503400
COP,2023.05.19,93.55,94.7,93.09,93.79,6068200
COP,2023.05.22,93.91,95.91,93.63,94.83,5561900
COP,2023.05.23,95.49,96.51,95.06,95.43,5415700
COP,2023.05.24,96.43,96.61,94.59,95.05,5141900
COP,2023.05.25,93.19,93.61,91.87,92.96,4951900
COP,2023.05.26,93.86,94.02,92.22,93.11,5709500
COP,2023.05.30,92.06,92.87,91.44,92.51,6721800
COP,2023.05.31,90.89,92.32,90.71,90.78,22757300
COP,2023.06.01,91.02,92.31,89.93,90.99,5857800
COP,2023.06.02,92.66,94.09,91.85,93.56,4958500
COP,2023.06.05,95.3,95.3,92.3,93.31,5153900
COP,2023.06.06,92.38,93.92,91.74,93.19,3622400
COP,2023.06.07,93.54,96.43,93.54,95.81,4827700
COP,2023.06.08,95.85,96.51,93.78,95.57,5231300
COP,2023.06.09,95.84,96.4,94.73,94.97,4085100
COP,2023.06.12,93.44,95.21,92.72,93.99,6049600
COP,2023.06.13,94.94,96.42,94.36,94.53,4904300
COP,2023.06.14,95.47,95.94,93.28,93.86,4915300
COP,2023.06.15,94.06,96.27,94.0,95.21,4614600
COP,2023.06.16,95.86,96.43,95.27,95.91,9928200
COP,2023.06.20,95.19,95.76,92.35,93.27,8590000
COP,2023.06.21,93.06,95.47,93.06,94.8,6477500
COP,2023.06.22,93.83,94.05,92.42,92.72,4967700
COP,2023.06.23,91.44,92.26,91.08,91.84,7149000
COP,2023.06.26,92.11,93.68,91.97,93.17,4361000
COP,2023.06.27,92.89,93.45,92.27,92.69,3816900
COP,2023.06.28,92.72,94.47,91.93,94.27,5463000
COP,2023.06.29,94.27,95.01,93.63,94.78,4260300
COP,2023.06.30,95.41,96.01,94.3,95.29,7000000
COP,2023.07.03,95.6,96.55,95.3,95.86,2234000
COP,2023.07.05,96.56,96.56,94.85,95.66,4154900
COP,2023.07.06,94.54,95.3,91.37,92.28,6004500
COP,2023.07.07,92.47,96.2,92.08,94.94,7393100
COP,2023.07.10,94.59,96.07,94.49,95.97,6405900
COP,2023.07.11,96.56,98.96,96.43,98.81,5648500
COP,2023.07.12,99.91,100.77,99.74,100.53,6229200
COP,2023.07.13,101.06,102.78,100.78,101.67,6054900
COP,2023.07.14,101.23,101.37,97.9,98.49,4738200
COP,2023.07.17,98.12,99.01,97.61,97.89,4081400
COP,2023.07.18,97.9,100.7,97.85,100.01,4396800
COP,2023.07.19,100.03,101.8,100.03,100.68,5408200
COP,2023.07.20,101.62,102.8,101.35,102.72,6702300
COP,2023.07.21,103.16,104.1,102.86,103.82,4957000
COP,2023.07.24,104.29,106.4,104.29,105.5,3999600
COP,2023.07.25,105.18,107.16,104.75,106.85,3664700
COP,2023.07.26,106.05,107.73,105.91,107.44,4006300
COP,2023.07.27,107.91,108.42,106.06,106.48,4568500
COP,2023.07.28,106.44,106.96,105.46,106.62,3138800
COP,2023.07.31,107.8,108.75,107.38,108.26,4126100
COP,2023.08.01,107.84,108.36,106.85,107.95,3308200
COP,2023.08.02,107.31,108.1,105.68,106.3,4577800
COP,2023.08.03,105.68,107.87,103.93,105.75,7285300
COP,2023.08.04,106.56,107.31,104.45,104.57,6928700
COP,2023.08.07,105.29,105.39,104.15,105.28,3635100
COP,2023.08.08,103.6,106.49,102.36,106.3,4281300
COP,2023.08.09,107.35,109.29,106.96,107.08,4818800
COP,2023.08.10,106.95,108.14,105.91,106.52,3589300
COP,2023.08.11,106.66,108.56,106.19,108.34,3771600
COP,2023.08.14,107.76,108.32,106.96,108.23,4252400
COP,2023.08.15,107.61,107.93,106.19,106.69,4214900
COP,2023.08.16,106.91,107.98,105.81,105.89,3767200
COP,2023.08.17,107.61,108.88,107.35,107.82,4044700
COP,2023.08.18,107.0,109.02,106.82,108.34,4267600
COP,2023.08.21,109.12,110.02,107.64,108.26,3271600
COP,2023.08.22,108.61,108.75,107.22,107.28,3194300
COP,2023.08.23,106.23,107.46,105.17,106.97,3136700
COP,2023.08.24,106.4,107.49,105.98,106.04,3538500
COP,2023.08.25,106.86,108.19,106.0,107.62,3710300
COP,2023.08.28,107.59,109.36,107.53,108.55,2821600
COP,2023.08.29,108.86,109.08,107.68,108.68,3213700
COP,2023.08.30,109.24,109.86,109.0,109.64,2847500
COP,2023.08.31,110.07,110.43,109.08,109.94,4395700
COP,2023.09.01,110.84,113.15,110.81,112.82,6398300
COP,2023.09.05,113.4,115.45,113.2,113.45,5785700
COP,2023.09.06,113.12,114.02,112.61,113.67,4664000
COP,2023.09.07,113.6,114.24,112.33,112.42,3503900
COP,2023.09.08,113.39,114.54,113.1,113.35,4368400
COP,2023.09.11,114.02,114.44,110.67,111.24,4294500
COP,2023.09.12,111.99,114.02,111.95,113.68,4486600
COP,2023.09.13,114.05,114.26,112.2,112.97,3879700
COP,2023.09.14,114.07,115.36,114.02,114.99,4686200
COP,2023.09.15,114.58,116.37,113.78,114.14,12441000
COP,2023.09.18,115.62,116.13,114.6,114.98,4945300
COP,2023.09.19,116.23,116.41,112.85,113.76,4190700
COP,2023.09.20,113.27,114.36,111.82,111.92,3444600
COP,2023.09.21,112.71,112.83,109.68,109.98,4470700
COP,2023.09.22,110.76,111.93,109.95,110.06,3641100
COP,2023.09.25,110.18,112.01,109.81,111.83,3291300
COP,2023.09.26,110.65,112.17,110.23,110.97,5204500
COP,2023.09.27,112.99,115.03,112.14,114.26,5364100
COP,2023.09.28,114.05,115.4,113.42,113.92,3964600
COP,2023.09.29,113.7,113.82,111.06,111.21,5308900
COP,2023.10.02,111.62,111.68,107.64,108.7,4769500
COP,2023.10.03,108.39,109.23,107.75,109.17,4162600
COP,2023.10.04,107.05,107.34,103.66,105.2,7287600
COP,2023.10.05,104.44,106.36,104.14,105.29,4070100
COP,2023.10.06,106.18,108.23,105.05,107.06,4209700
COP,2023.10.09,110.43,113.13,110.23,113.08,6532800
COP,2023.10.10,112.56,113.47,111.57,111.76,5705500
COP,2023.10.11,110.93,111.57,109.57,111.43,7300700
COP,2023.10.12,112.4,113.0,111.82,112.43,3859500
COP,2023.10.13,115.16,116.94,114.58,115.91,5589100
COP,2023.10.16,116.57,117.08,115.28,116.32,3769500
COP,2023.10.17,116.22,117.36,115.98,116.46,4213800
COP,2023.10.18,117.16,118.12,116.45,117.51,4781900
COP,2023.10.19,116.68,118.22,115.92,117.32,4491300
COP,2023.10.20,117.14,117.59,114.98,115.16,5289400
COP,2023.10.23,114.24,114.33,111.99,112.64,5969400
COP,2023.10.24,112.85,113.24,111.3,111.35,4664400
COP,2023.10.25,110.96,112.26,110.25,111.78,5010600
COP,2023.10.26,110.22,110.62,108.84,109.83,6066500
COP,2023.10.27,109.26,109.85,108.09,109.35,5312500
COP,2023.10.30,109.33,110.0,108.16,109.67,5830500
COP,2023.10.31,109.45,110.46,108.14,110.28,4505000
COP,2023.11.01,110.91,111.18,108.14,108.3,8350900
COP,2023.11.02,109.42,114.41,108.95,113.27,9068700
COP,2023.11.03,112.79,113.15,110.79,111.16,5935600
COP,2023.11.06,111.62,111.91,109.71,109.97,4610800
