sym,date,open,high,low,close,volume
CVX,2023.03.06,144.74,146.91,144.28,146.36,7703600
CVX,2023.03.07,145.94,146.74,144.08,144.47,7393000
CVX,2023.03.08,143.77,145.58,142.14,143.56,5435800
CVX,2023.03.09,144.26,145.76,141.09,141.37,6214700
CVX,2023.03.10,141.75,145.04,139.75,140.63,7385800
CVX,2023.03.13,137.79,141.76,135.46,139.79,10106100
CVX,2023.03.14,139.39,144.46,139.06,141.59,10035200
CVX,2023.03.15,137.04,139.12,133.88,135.46,14063100
CVX,2023.03.16,132.26,136.93,132.04,135.89,12849600
CVX,2023.03.17,135.3,136.85,132.64,134.18,33161800
CVX,2023.03.20,133.65,137.21,133.25,136.15,8469200
CVX,2023.03.21,138.42,140.54,137.81,140.31,9753500
CVX,2023.03.22,140.81,140.98,137.34,137.46,6315000
CVX,2023.03.23,138.3,139.83,134.88,136.1,7859400
CVX,2023.03.24,133.96,137.97,133.73,137.45,6600100
CVX,2023.03.27,138.63,139.58,137.13,138.85,7006800
CVX,2023.03.28,138.53,141.09,138.0,140.47,5605400
CVX,2023.03.29,141.47,142.08,140.33,141.68,7569700
CVX,2023.03.30,142.9,143.57,142.31,143.03,6322400
CVX,2023.03.31,143.3,144.2,142.82,143.71,7041400
CVX,2023.04.03,149.55,150.7,148.78,149.69,12868200
CVX,2023.04.04,150.73,150.73,147.72,148.88,7521400
CVX,2023.04.05,149.08,150.12,147.74,149.62,6478100
CVX,2023.04.06,149.16,149.21,147.2,147.66,5803200
CVX,2023.04.10,148.4,149.45,147.36,148.22,5923500
CVX,2023.04.11,148.91,150.03,148.03,149.04,5469600
CVX,2023.04.12,150.13,150.72,149.26,149.57,6157900
CVX,2023.04.13,149.95,151.91,149.57,151.57,6856600
CVX,2023.04.14,151.93,152.27,150.8,151.88,4930700
CVX,2023.04.17,151.83,151.97,149.92,150.54,7006000
CVX,2023.04.18,150.45,151.83,149.84,150.19,8045600
CVX,2023.04.19,149.25,150.38,148.94,150.33,5506800
CVX,2023.04.20,148.64,149.78,147.99,149.6,5851100
CVX,2023.04.21,149.58,150.25,148.71,148.95,7179000
CVX,2023.04.24,148.94,151.83,148.48,151.03,7177600
CVX,2023.04.25,150.01,150.08,148.35,148.84,5807200
CVX,2023.04.26,148.15,148.81,145.53,146.19,5927400
CVX,2023.04.27,146.59,147.43,145.39,147.04,6417200
CVX,2023.04.28,144.89,148.8,144.49,148.48,10036300
CVX,2023.05.01,147.71,148.61,146.52,147.3,6099800
CVX,2023.05.02,145.61,145.66,139.56,140.96,10701700
CVX,2023.05.03,139.29,140.54,138.05,138.13,7538100
CVX,2023.05.04,138.38,139.34,136.89,137.59,7500400
CVX,2023.05.05,140.31,141.91,139.85,141.11,5802000
CVX,2023.05.08,142.31,142.95,140.5,140.55,5028200
CVX,2023.05.09,139.26,141.29,139.08,140.15,5019800
CVX,2023.05.10,141.31,141.31,137.29,138.36,6161200
CVX,2023.05.11,136.85,137.68,135.54,137.59,6666100
CVX,2023.05.12,138.28,139.1,137.01,137.95,4898900
CVX,2023.05.15,138.48,139.3,137.6,138.46,5096700
CVX,2023.05.16,137.82,138.3,135.05,135.21,7007700
CVX,2023.05.17,136.33,137.77,135.6,137.14,6169600
CVX,2023.05.18,135.96,137.18,134.77,136.97,7477700
CVX,2023.05.19,137.76,139.14,136.96,138.06,8100900
CVX,2023.05.22,136.78,137.7,135.27,135.58,11661000
CVX,2023.05.23,137.09,140.24,136.82,139.5,10436200
CVX,2023.05.24,140.48,141.03,139.0,139.87,7064000
CVX,2023.05.25,137.57,138.42,136.52,137.46,7037700
CVX,2023.05.26,138.11,138.42,136.49,137.04,7736200
CVX,2023.05.30,134.89,136.31,134.48,136.18,7814800
CVX,2023.05.31,134.78,135.56,133.73,133.96,13346400
CVX,2023.06.01,134.56,136.73,133.18,135.33,9887700
CVX,2023.06.02,137.48,139.41,136.62,138.98,9464300
CVX,2023.06.05,140.92,140.92,138.07,138.31,6443800
CVX,2023.06.06,136.37,138.89,136.25,138.56,6176400
CVX,2023.06.07,139.23,142.49,139.19,142.15,9900000
CVX,2023.06.08,142.44,142.74,139.71,141.63,7142200
CVX,2023.06.09,141.66,142.65,141.07,141.29,6669500
CVX,2023.06.12,139.69,141.71,138.95,139.93,7159600
CVX,2023.06.13,140.99,142.82,140.76,140.98,7660800
CVX,2023.06.14,142.28,142.99,138.88,139.71,7721100
CVX,2023.06.15,139.92,142.12,139.92,140.77,7705400
CVX,2023.06.16,141.03,141.63,139.87,139.87,22908100
CVX,2023.06.20,138.88,139.25,135.4,136.68,10438700
CVX,2023.06.21,135.78,138.71,135.63,137.75,7328200
CVX,2023.06.22,136.39,136.6,135.16,135.76,7088600
CVX,2023.06.23,134.31,134.92,133.52,134.61,15172700
