sym,date,open,high,low,close,volume
GOOG,2023.03.06,93.66,95.58,93.6,94.87,28288200
GOOG,2023.03.07,94.71,95.37,93.15,93.47,24101500
GOOG,2023.03.08,93.7,95.52,93.7,93.95,25395200
GOOG,2023.03.09,93.79,95.21,91.67,91.97,24438900
GOOG,2023.03.10,91.81,92.49,90.12,90.33,32850100
GOOG,2023.03.13,89.89,92.39,89.27,90.98,31508600
GOOG,2023.03.14,92.38,94.12,92.09,93.55,32303900
GOOG,2023.03.15,92.84,96.53,92.35,95.83,38367300
GOOG,2023.03.16,95.85,101.21,95.16,100.32,54499500
GOOG,2023.03.17,100.09,102.72,100.0,101.7,76140300
GOOG,2023.03.20,100.31,101.82,100.04,101.17,26033900
GOOG,2023.03.21,101.22,105.17,101.1,105.05,33122800
GOOG,2023.03.22,104.36,106.71,103.43,103.44,32336900
GOOG,2023.03.23,105.1,106.3,104.63,105.47,31385800
GOOG,2023.03.24,104.95,105.37,103.96,105.27,25236200
GOOG,2023.03.27,104.54,104.62,101.87,102.29,25393400
GOOG,2023.03.28,102.23,102.23,99.53,100.61,24913500
GOOG,2023.03.29,101.96,102.05,100.28,101.14,26148300
GOOG,2023.03.30,100.68,100.85,99.54,100.57,25009800
GOOG,2023.03.31,100.95,103.41,100.68,103.23,28108000
GOOG,2023.04.03,101.91,104.17,101.62,104.13,20719900
GOOG,2023.04.04,104.06,105.31,103.82,104.34,20377200
GOOG,2023.04.05,105.33,105.75,103.33,104.17,21864200
GOOG,2023.04.06,104.98,108.81,104.03,108.09,34684200
GOOG,2023.04.10,106.59,107.17,104.81,106.15,19741500
GOOG,2023.04.11,106.12,106.42,104.5,105.33,18721300
GOOG,2023.04.12,106.59,106.79,104.19,104.44,22761600
GOOG,2023.04.13,105.68,107.46,105.65,107.38,21650700
GOOG,2023.04.14,106.89,108.76,106.79,108.65,20758700
GOOG,2023.04.17,104.65,105.92,104.54,105.63,29043400
GOOG,2023.04.18,106.2,106.25,104.0,104.34,17641400
GOOG,2023.04.19,103.44,104.94,103.03,104.24,16732000
GOOG,2023.04.20,103.87,106.09,103.86,105.11,22515300
GOOG,2023.04.21,105.3,105.85,104.7,105.12,22379000
GOOG,2023.04.24,105.26,106.52,104.58,105.99,21410900
GOOG,2023.04.25,105.82,106.64,103.78,103.83,31408100
GOOG,2023.04.26,104.77,106.22,102.5,103.67,37068200
GOOG,2023.04.27,104.45,108.34,103.64,107.56,38235200
GOOG,2023.04.28,107.0,107.48,105.25,107.41,23957900
GOOG,2023.05.01,106.92,107.87,106.7,106.91,20926300
GOOG,2023.05.02,106.86,106.93,103.72,105.19,20343100
GOOG,2023.05.03,105.43,107.33,104.83,105.33,17116300
GOOG,2023.05.04,105.37,105.51,103.92,104.43,19780600
GOOG,2023.05.05,104.54,105.65,103.96,105.42,20710600
GOOG,2023.05.08,105.01,107.61,105.0,107.43,17266000
GOOG,2023.05.09,107.97,109.77,106.92,107.14,24782400
GOOG,2023.05.10,107.74,112.66,107.67,111.44,47533500
GOOG,2023.05.11,115.0,117.56,114.07,116.03,57115100
GOOG,2023.05.12,116.13,117.38,115.68,117.04,31293800
GOOG,2023.05.15,115.62,117.91,115.61,116.09,22107900
GOOG,2023.05.16,115.96,120.3,115.96,119.2,32370100
GOOG,2023.05.17,119.29,121.37,118.57,120.58,26659600
GOOG,2023.05.18,120.66,122.98,120.59,122.6,27014500
GOOG,2023.05.19,123.28,125.54,121.81,122.33,30268900
GOOG,2023.05.22,122.59,126.1,122.53,124.93,29760200
GOOG,2023.05.23,124.0,124.49,122.13,122.37,24477900
GOOG,2023.05.24,120.97,121.84,119.85,120.73,23087900
GOOG,2023.05.25,124.28,125.04,121.99,123.42,33812700
GOOG,2023.05.26,123.14,125.06,122.37,124.5,25154700
GOOG,2023.05.30,125.35,125.44,121.98,123.71,27230700
GOOG,2023.05.31,122.78,123.97,122.18,122.45,41548800
GOOG,2023.06.01,122.58,124.11,122.38,123.44,25017700
GOOG,2023.06.02,123.56,125.8,123.42,124.3,19367500
GOOG,2023.06.05,123.68,127.04,123.45,125.69,22672500
GOOG,2023.06.06,125.66,127.92,125.03,126.96,19450100
GOOG,2023.06.07,126.63,128.59,121.72,122.02,34179300
GOOG,2023.06.08,121.67,122.81,121.1,121.76,24815000
GOOG,2023.06.09,121.65,123.36,121.51,121.96,20304500
GOOG,2023.06.12,122.48,123.82,121.44,123.42,22255700
GOOG,2023.06.13,124.71,124.92,122.92,123.5,19287700
GOOG,2023.06.14,122.88,123.86,121.25,123.45,24659600
GOOG,2023.06.15,122.96,125.22,122.22,124.85,24517100
GOOG,2023.06.16,125.76,125.76,122.87,123.14,56699200
GOOG,2023.06.20,122.62,124.24,121.92,122.93,22698000
GOOG,2023.06.21,122.32,122.49,119.96,120.36,22612000
GOOG,2023.06.22,119.76,123.01,118.71,122.95,20781900
GOOG,2023.06.23,121.13,122.52,120.95,122.1,29573100
GOOG,2023.06.26,120.56,121.81,118.1,118.2,23185000
GOOG,2023.06.27,116.96,119.0,116.04,118.12,27221700
GOOG,2023.06.28,117.08,120.37,116.72,120.18,19753100
GOOG,2023.06.29,119.2,120.01,118.32,119.12,18517500
GOOG,2023.06.30,120.2,121.12,119.98,120.07,23871800
GOOG,2023.07.03,119.42,120.12,118.81,119.66,13888300
GOOG,2023.07.05,119.17,122.45,119.17,121.72,17830300
GOOG,2023.07.06,119.74,120.25,118.36,120.03,17732500
GOOG,2023.07.07,119.99,120.84,119.2,119.25,20997700
GOOG,2023.07.10,118.18,118.18,115.77,116.0,32960100
GOOG,2023.07.11,115.89,117.34,114.97,116.83,18286600
GOOG,2023.07.12,118.41,120.06,118.11,118.73,22059600
GOOG,2023.07.13,120.64,124.4,120.16,123.9,31535900
GOOG,2023.07.14,124.2,126.14,123.97,124.76,20499800
GOOG,2023.07.17,125.12,126.33,123.57,124.13,20675300
GOOG,2023.07.18,123.98,124.06,122.38,123.16,21045800
GOOG,2023.07.19,123.86,124.54,121.56,121.87,22313800
GOOG,2023.07.20,121.21,123.77,117.8,118.64,27541700
GOOG,2023.07.21,119.97,120.4,118.18,119.41,56514600
GOOG,2023.07.24,121.02,122.43,120.48,120.97,22276100
GOOG,2023.07.25,120.97,122.77,120.63,121.88,31820800
GOOG,2023.07.26,129.39,130.39,127.75,128.69,46216900
GOOG,2023.07.27,130.82,132.61,128.22,128.9,35931600
GOOG,2023.07.28,130.0,133.07,129.95,132.02,26971000
GOOG,2023.07.31,132.02,132.83,131.15,132.12,18381900
GOOG,2023.08.01,129.88,131.93,129.78,130.91,22154300
GOOG,2023.08.02,128.87,129.45,126.9,127.68,22705800
GOOG,2023.08.03,127.41,128.8,126.82,127.81,15018100
GOOG,2023.08.04,128.64,130.95,127.36,127.58,20521900
GOOG,2023.08.07,128.55,131.08,128.47,130.96,17621000
GOOG,2023.08.08,130.0,130.96,129.16,130.86,16836000
GOOG,2023.08.09,131.21,131.48,128.54,129.18,17745200
GOOG,2023.08.10,130.99,131.66,129.07,129.24,17855700
GOOG,2023.08.11,128.24,129.47,127.79,129.2,15205500
GOOG,2023.08.14,128.88,130.93,128.63,130.85,17526200
GOOG,2023.08.15,130.61,131.01,128.85,129.3,14769200
GOOG,2023.08.16,128.32,129.92,127.5,128.15,17548400
GOOG,2023.08.17,129.48,131.5,128.88,129.49,23665600
GOOG,2023.08.18,128.1,128.86,126.05,127.16,23627200
GOOG,2023.08.21,126.9,128.3,126.21,127.97,21851100
GOOG,2023.08.22,128.17,129.98,127.97,128.72,15557900
GOOG,2023.08.23,129.88,133.07,129.54,132.22,26497000
GOOG,2023.08.24,133.72,133.97,129.33,129.45,18680400
GOOG,2023.08.25,129.17,130.42,127.09,129.72,20678100
GOOG,2023.08.28,131.1,132.25,129.88,130.81,16715500
GOOG,2023.08.29,132.01,136.27,131.99,134.48,30803300
GOOG,2023.08.30,134.56,136.23,134.02,135.91,21773400
GOOG,2023.08.31,136.03,137.37,135.8,136.33,28147900
GOOG,2023.09.01,137.4,137.55,134.93,135.78,16671600
GOOG,2023.09.05,135.42,136.35,134.55,135.69,17730200
GOOG,2023.09.06,136.0,136.46,133.69,134.36,15814300
GOOG,2023.09.07,133.6,135.56,132.96,135.19,16976000
GOOG,2023.09.08,134.86,136.49,134.86,136.18,17810700
GOOG,2023.09.11,136.36,137.23,135.53,136.71,17180800
GOOG,2023.09.12,136.11,136.62,134.92,135.06,15212900
GOOG,2023.09.13,134.89,136.67,133.93,136.48,16394900
GOOG,2023.09.14,137.36,138.51,136.04,137.96,19064600
GOOG,2023.09.15,137.77,138.32,136.16,137.27,48958800
GOOG,2023.09.18,136.61,138.89,136.61,137.93,16233600
GOOG,2023.09.19,137.22,138.14,136.48,137.8,15479100
GOOG,2023.09.20,137.8,137.81,133.52,133.59,21473500
GOOG,2023.09.21,131.4,132.2,130.11,130.38,22058400
GOOG,2023.09.22,130.7,132.02,129.54,130.27,17348700
GOOG,2023.09.25,129.8,131.24,129.06,131.19,14650000
GOOG,2023.09.26,129.94,130.43,127.24,128.49,20378800
GOOG,2023.09.27,128.48,130.74,128.42,130.48,18764200
GOOG,2023.09.28,129.72,133.18,129.72,132.14,18201400
GOOG,2023.09.29,133.08,133.89,130.34,130.87,23237300
GOOG,2023.10.02,131.17,134.35,131.08,134.16,19210400
GOOG,2023.10.03,133.93,134.23,131.83,132.31,19628700
GOOG,2023.10.04,132.66,135.55,132.44,135.26,22848000
GOOG,2023.10.05,135.12,135.48,133.45,134.98,15922900
GOOG,2023.10.06,133.94,138.15,133.94,137.7,20826700
GOOG,2023.10.09,136.96,138.93,135.68,138.46,16599100
GOOG,2023.10.10,138.47,139.69,137.4,138.16,19554900
GOOG,2023.10.11,138.81,141.16,138.8,140.65,20146300
GOOG,2023.10.12,141.1,141.32,138.41,139.25,18173100
GOOG,2023.10.13,139.6,140.29,136.94,137.55,19438700
GOOG,2023.10.16,138.69,139.86,138.28,139.44,17345600
GOOG,2023.10.17,138.99,140.2,137.5,139.94,17424000
GOOG,2023.10.18,139.7,140.93,137.67,138.24,18304900
GOOG,2023.10.19,138.76,139.96,137.57,137.95,21831200
GOOG,2023.10.20,137.56,138.0,135.23,135.72,24970300
GOOG,2023.10.23,135.22,137.99,134.1,136.87,20780700
GOOG,2023.10.24,138.12,139.66,137.72,139.08,26535200
GOOG,2023.10.25,128.8,129.13,125.15,125.73,58796100
GOOG,2023.10.26,123.54,124.53,121.41,122.52,33907400
GOOG,2023.10.27,123.11,123.51,120.56,122.48,37367700
GOOG,2023.10.30,123.53,125.61,122.96,124.81,24165600
GOOG,2023.10.31,125.33,125.62,123.0,124.37,21123400
GOOG,2023.11.01,124.41,126.79,124.0,126.62,26536600
GOOG,2023.11.02,128.6,129.12,127.16,127.62,24091700
GOOG,2023.11.03,128.13,129.76,128.05,129.4,19529400
GOOG,2023.11.06,129.25,130.58,128.96,130.47,15360400
GOOG,2023.11.07,131.0,132.29,130.16,131.41,19223800
GOOG,2023.11.08,131.37,132.55,131.18,132.27,15093600
GOOG,2023.11.09,132.37,132.96,130.53,130.71,17976500
GOOG,2023.11.10,130.55,133.27,129.9,133.06,20872900
GOOG,2023.11.13,132.37,133.11,131.78,132.65,16409900
GOOG,2023.11.14,134.64,136.22,134.09,134.42,22317300
GOOG,2023.11.15,135.62,135.82,134.32,135.36,15840900
GOOG,2023.11.16,135.94,137.85,135.07,137.67,17615100
GOOG,2023.11.17,136.79,136.97,134.47,135.92,25565300
GOOG,2023.11.20,134.49,137.39,134.48,136.89,19569400
GOOG,2023.11.21,136.91,137.93,136.68,137.59,17648100
GOOG,2023.11.22,138.06,140.05,137.97,138.98,17306400
GOOG,2023.11.24,138.5,138.64,136.45,137.19,8828600
GOOG,2023.11.27,136.55,138.59,136.52,137.02,17886400
GOOG,2023.11.28,136.61,137.63,136.02,137.59,17046900
GOOG,2023.11.29,137.95,138.63,135.28,135.38,21014700
GOOG,2023.11.30,135.38,135.94,131.8,132.92,29913500
GOOG,2023.12.01,132.33,132.51,131.17,132.33,24268000
GOOG,2023.12.04,130.32,130.47,128.44,129.66,24117100
GOOG,2023.12.05,129.4,132.55,128.76,131.4,19235100
GOOG,2023.12.06,131.91,132.32,130.33,130.45,16360600
GOOG,2023.12.07,135.58,138.96,135.22,137.42,38419400
GOOG,2023.12.08,134.65,136.96,134.56,135.62,23016100
GOOG,2023.12.11,132.82,133.79,131.9,133.7,24502900
GOOG,2023.12.12,132.28,133.54,131.84,132.65,26584000
GOOG,2023.12.13,133.54,133.78,131.96,132.97,25414500
GOOG,2023.12.14,133.77,134.03,130.08,132.21,29619100
GOOG,2023.12.15,131.93,133.83,131.64,132.84,58594000
GOOG,2023.12.18,132.86,137.35,132.77,136.17,25699800
GOOG,2023.12.19,136.97,137.74,136.43,137.07,20661000
GOOG,2023.12.20,139.29,142.01,138.37,138.62,33507300
GOOG,2023.12.21,139.72,140.97,139.43,140.74,18101500
GOOG,2023.12.22,141.07,142.18,141.0,141.66,18513500
GOOG,2023.12.26,141.92,142.87,141.44,141.76,11170100
GOOG,2023.12.27,141.77,142.25,140.0,140.39,17288400
GOOG,2023.12.28,140.79,141.21,139.78,140.23,12192500
GOOG,2023.12.29,139.63,140.38,138.86,139.88,14881000
GOOG,2024.01.02,138.56,139.57,136.71,138.52,20071900
GOOG,2024.01.03,137.57,140.04,137.4,139.32,18974300
GOOG,2024.01.04,138.81,139.59,136.98,137.01,18253300
GOOG,2024.01.05,137.32,137.78,135.83,136.37,15439500
GOOG,2024.01.08,136.97,139.59,136.85,139.48,17645300
GOOG,2024.01.09,139.02,141.74,138.75,141.5,19579700
GOOG,2024.01.10,141.46,143.45,141.4,142.73,16641900
GOOG,2024.01.11,143.82,145.57,141.16,142.6,17471100
GOOG,2024.01.12,143.27,143.66,142.29,143.17,13998700
GOOG,2024.01.16,142.36,144.75,141.99,143.01,19198900
GOOG,2024.01.17,141.85,142.34,139.46,141.83,17884500
GOOG,2024.01.18,142.37,144.5,142.28,143.91,18876800
GOOG,2024.01.19,145.22,146.94,144.71,146.87,27181000
GOOG,2024.01.22,147.6,148.9,146.48,146.61,21829200
GOOG,2024.01.23,146.62,147.75,146.09,147.57,14113600
GOOG,2024.01.24,149.17,150.44,148.72,149.23,19245000
GOOG,2024.01.25,150.61,153.61,150.09,152.5,21495100
GOOG,2024.01.26,151.73,152.96,151.66,152.65,19494500
GOOG,2024.01.29,152.5,154.04,151.78,153.69,20909300
GOOG,2024.01.30,152.86,153.89,151.64,151.91,26578900
GOOG,2024.01.31,144.31,144.51,140.5,140.74,43908600
GOOG,2024.02.01,142.62,143.54,141.2,141.65,25526900
GOOG,2024.02.02,139.84,142.81,137.14,142.47,42136100
GOOG,2024.02.05,142.97,145.58,142.84,143.85,29254400
GOOG,2024.02.06,144.87,145.65,143.44,144.33,21517700
GOOG,2024.02.07,145.03,145.91,144.13,145.59,21436100
GOOG,2024.02.08,145.88,146.51,145.33,146.12,18241300
GOOG,2024.02.09,146.85,149.57,146.33,149.1,21877700
GOOG,2024.02.12,148.43,149.47,147.45,147.62,17236100
GOOG,2024.02.13,144.98,146.94,144.03,145.28,18138500
GOOG,2024.02.14,146.27,146.73,144.47,146.04,16651800
GOOG,2024.02.15,143.38,143.68,140.82,142.87,26724300
GOOG,2024.02.16,143.14,143.4,140.47,140.7,21865100
GOOG,2024.02.20,139.89,142.26,139.75,141.14,18625600
GOOG,2024.02.21,141.58,142.91,140.85,142.77,16440800
GOOG,2024.02.22,145.03,145.11,142.94,144.24,23024700
GOOG,2024.02.23,143.89,144.87,143.71,144.21,14519400
GOOG,2024.02.26,142.38,142.77,137.71,137.72,33513000
GOOG,2024.02.27,138.37,139.44,137.47,139.06,22364000
GOOG,2024.02.28,138.06,138.24,135.62,136.41,30628700
GOOG,2024.02.29,137.32,138.91,136.55,138.74,35485000
GOOG,2024.03.01,138.57,138.96,136.95,137.05,28551500
GOOG,2024.03.04,135.52,135.61,131.87,133.2,43571500
GOOG,2024.03.05,131.75,133.02,130.57,132.78,28447600
GOOG,2024.03.06,133.24,133.74,130.97,131.57,23175200
GOOG,2024.03.07,132.89,134.81,131.67,134.23,24107300
GOOG,2024.03.08,134.03,137.95,133.8,135.28,26495200
GOOG,2024.03.11,136.05,138.94,136.05,137.91,22536400
GOOG,2024.03.12,137.22,139.24,137.18,138.58,19019700
GOOG,2024.03.13,139.02,141.13,138.97,139.72,19637000
GOOG,2024.03.14,141.24,143.65,140.43,143.27,36117900
GOOG,2024.03.15,142.34,143.27,140.08,141.11,41039500
GOOG,2024.03.18,148.26,151.79,147.04,147.37,47676700
GOOG,2024.03.19,147.87,148.51,145.92,146.82,17748400
GOOG,2024.03.20,147.68,148.65,146.57,148.57,17730000
GOOG,2024.03.21,149.2,150.18,146.91,147.63,19843900
GOOG,2024.03.22,149.12,151.42,148.97,150.64,19252900
GOOG,2024.03.25,149.83,150.33,147.69,150.02,15114700
GOOG,2024.03.26,150.11,152.06,149.91,150.57,19312700
GOOG,2024.03.27,151.01,151.55,149.01,150.81,16622000
GOOG,2024.03.28,150.87,151.53,150.2,151.13,21105600
GOOG,2024.04.01,150.7,155.83,150.52,155.33,24469800
GOOG,2024.04.02,153.6,154.83,152.32,154.71,17598100
GOOG,2024.04.03,153.77,155.38,152.98,155.21,17266200
GOOG,2024.04.04,153.93,155.02,150.75,150.81,24184800
GOOG,2024.04.05,150.55,153.69,149.96,152.79,16297300
GOOG,2024.04.08,152.87,155.49,152.84,154.98,16641500
GOOG,2024.04.09,156.18,158.7,155.47,156.96,21521500
GOOG,2024.04.10,156.7,156.98,155.04,156.49,16339200
GOOG,2024.04.11,157.16,159.92,156.75,159.59,17841700
GOOG,2024.04.12,158.22,160.5,157.42,158.0,16989800
GOOG,2024.04.15,159.09,159.63,154.99,155.17,21140900
GOOG,2024.04.16,154.48,156.06,153.9,154.84,15413200
GOOG,2024.04.17,156.02,157.5,154.97,155.71,16237800
GOOG,2024.04.18,155.76,157.31,155.05,156.29,14016100
GOOG,2024.04.19,156.58,156.81,152.76,154.56,21479900
GOOG,2024.04.22,154.85,158.0,154.5,156.77,17243900
GOOG,2024.04.23,157.41,159.29,156.79,158.73,16115400
GOOG,2024.04.24,157.91,160.19,157.64,159.9,19485700
GOOG,2024.04.25,152.22,157.1,151.63,156.77,36197800
GOOG,2024.04.26,174.68,175.11,170.12,172.4,56500800
GOOG,2024.04.29,169.5,170.1,165.82,166.65,35914600
GOOG,2024.04.30,166.13,168.61,163.28,163.41,29420800
GOOG,2024.05.01,164.94,167.55,163.67,164.34,25223200
GOOG,2024.05.02,165.43,167.28,164.46,167.21,17041100
GOOG,2024.05.03,168.28,168.59,163.75,167.73,22767100
GOOG,2024.05.06,167.96,168.64,166.64,168.57,15147900
GOOG,2024.05.07,168.85,172.18,168.73,171.69,21102400
GOOG,2024.05.08,169.48,170.63,169.25,169.89,14569900
GOOG,2024.05.09,169.88,171.16,168.66,170.3,11937700
GOOG,2024.05.10,168.43,170.06,166.66,169.02,18740500
GOOG,2024.05.13,164.61,169.68,164.53,169.63,19648600
GOOG,2024.05.14,170.31,171.49,169.15,170.65,18729500
