sym,date,open,high,low,close,volume
GS,2023.03.06,332.7,333.45,328.68,331.76,1614200
GS,2023.03.07,330.37,330.97,321.15,321.57,2048500
GS,2023.03.08,321.67,324.92,320.72,324.55,1584600
GS,2023.03.09,324.47,329.2,316.9,317.86,3177800
GS,2023.03.10,314.87,315.86,302.94,304.46,4559700
GS,2023.03.13,297.03,303.01,292.26,293.17,5660700
GS,2023.03.14,301.77,303.27,296.36,299.33,3785900
GS,2023.03.15,288.76,290.38,282.85,290.08,6596700
GS,2023.03.16,287.12,295.78,283.33,292.77,4399100
GS,2023.03.17,288.13,288.42,280.49,282.04,6369800
GS,2023.03.20,285.05,290.09,284.57,287.61,3963700
GS,2023.03.21,295.13,297.63,293.02,294.81,3242400
GS,2023.03.22,294.81,299.4,291.29,291.46,2505900
GS,2023.03.23,292.89,298.6,290.5,292.55,2585900
GS,2023.03.24,288.18,290.6,283.73,290.43,2456700
GS,2023.03.27,296.05,298.17,294.71,295.97,2300600
GS,2023.03.28,296.49,297.9,293.73,295.89,1224300
GS,2023.03.29,299.66,299.86,296.11,298.01,1475900
GS,2023.03.30,301.57,301.86,297.23,298.4,1456300
GS,2023.03.31,300.56,304.15,299.59,303.94,2281100
GS,2023.04.03,303.04,305.68,300.26,303.4,1808800
GS,2023.04.04,303.67,303.72,297.45,299.8,1536800
GS,2023.04.05,296.98,299.38,296.75,298.76,1329300
GS,2023.04.06,297.69,300.34,297.32,299.57,1311000
GS,2023.04.10,299.57,301.97,298.55,301.95,1114400
GS,2023.04.11,302.96,305.89,300.75,304.19,1559600
GS,2023.04.12,308.23,308.55,304.01,306.85,1862400
GS,2023.04.13,306.7,309.36,303.84,308.61,1765500
GS,2023.04.14,312.7,315.58,310.64,313.06,2275700
GS,2023.04.17,312.2,316.34,310.05,315.62,3012100
GS,2023.04.18,304.77,312.72,303.03,310.26,7549500
GS,2023.04.19,309.4,313.12,308.18,313.03,2625400
GS,2023.04.20,311.23,315.28,310.64,314.72,2217900
GS,2023.04.21,314.99,318.11,312.2,317.46,2278900
