sym,date,open,high,low,close,volume
JNJ,2023.03.06,141.44,142.42,141.36,142.26,8148200
JNJ,2023.03.07,142.75,142.89,140.24,140.92,7457700
JNJ,2023.03.08,140.82,141.02,139.45,139.89,6230500
JNJ,2023.03.09,140.34,140.47,137.83,138.31,7439400
JNJ,2023.03.10,138.88,140.37,138.18,138.65,8504300
JNJ,2023.03.13,139.09,142.58,138.61,139.98,10799600
JNJ,2023.03.14,140.18,140.86,138.92,140.76,8421200
JNJ,2023.03.15,139.78,141.65,139.49,141.16,7757700
JNJ,2023.03.16,140.33,141.18,139.56,140.86,7605500
JNJ,2023.03.17,141.28,141.71,139.28,139.36,20540700
JNJ,2023.03.20,139.44,140.9,139.36,140.74,7129000
JNJ,2023.03.21,140.84,140.96,139.16,140.74,8376800
JNJ,2023.03.22,140.7,140.89,138.12,138.14,7943500
JNJ,2023.03.23,138.26,138.72,137.28,138.21,9051500
JNJ,2023.03.24,138.53,139.7,137.94,139.6,5696200
JNJ,2023.03.27,141.02,141.33,140.02,140.2,6772300
JNJ,2023.03.28,139.36,140.33,138.76,138.84,6115300
JNJ,2023.03.29,139.23,140.27,139.07,140.21,6012000
JNJ,2023.03.30,140.45,140.65,139.75,140.32,4555700
JNJ,2023.03.31,140.64,141.93,140.14,141.75,9890000
JNJ,2023.04.03,141.71,143.59,140.78,143.44,6841900
JNJ,2023.04.04,143.55,145.38,143.21,144.94,8314500
JNJ,2023.04.05,150.32,151.5,148.85,151.45,16704200
JNJ,2023.04.06,151.8,152.94,150.71,151.03,9615400
JNJ,2023.04.10,150.56,150.75,149.65,150.27,5354000
JNJ,2023.04.11,150.37,151.15,150.02,150.23,5903800
JNJ,2023.04.12,149.93,150.75,149.16,149.91,5764100
JNJ,2023.04.13,150.15,152.11,149.81,151.91,5640600
JNJ,2023.04.14,151.78,151.92,150.04,151.67,7225100
JNJ,2023.04.17,151.57,152.03,150.84,151.51,8046400
JNJ,2023.04.18,150.21,150.61,146.0,147.25,14571500
JNJ,2023.04.19,148.14,148.78,147.39,148.64,6752000
JNJ,2023.04.20,148.55,149.82,147.2,149.6,9498800
JNJ,2023.04.21,150.38,150.87,148.13,148.78,7014200
JNJ,2023.04.24,148.78,149.81,148.03,149.69,5278900
JNJ,2023.04.25,150.27,151.22,150.13,151.06,6263100
JNJ,2023.04.26,150.06,150.34,148.37,148.72,5518200
JNJ,2023.04.27,148.98,149.44,148.27,149.07,5739700
JNJ,2023.04.28,148.89,149.76,148.67,149.71,6024900
JNJ,2023.05.01,149.62,150.26,148.37,149.62,4893400
JNJ,2023.05.02,150.29,151.34,149.58,150.92,7541700
JNJ,2023.05.03,151.4,151.98,148.62,148.95,5937200
JNJ,2023.05.04,148.78,148.98,147.47,148.27,5128000
JNJ,2023.05.05,148.92,149.19,147.87,148.78,5194500
JNJ,2023.05.08,148.14,148.67,147.55,148.44,4994900
JNJ,2023.05.09,147.92,148.27,147.05,147.28,5520500
JNJ,2023.05.10,147.42,148.13,146.38,147.83,6756600
JNJ,2023.05.11,148.0,148.33,145.77,147.23,5867600
JNJ,2023.05.12,147.57,147.75,146.33,147.04,3904200
JNJ,2023.05.15,147.06,147.27,145.35,145.91,5104500
JNJ,2023.05.16,145.46,146.55,144.98,145.72,5599200
JNJ,2023.05.17,146.13,146.38,144.28,145.4,6840700
JNJ,2023.05.18,145.1,145.35,144.09,144.93,5173000
JNJ,2023.05.19,145.03,146.26,144.62,145.33,6527100
JNJ,2023.05.22,145.59,146.64,144.46,144.54,5675900
JNJ,2023.05.23,144.76,145.83,144.08,144.49,5793000
JNJ,2023.05.24,144.74,144.79,143.67,144.35,5015100
JNJ,2023.05.25,143.79,144.01,141.64,142.28,6886100
JNJ,2023.05.26,142.54,143.08,142.08,142.22,6845400
JNJ,2023.05.30,141.87,143.17,141.27,142.24,5593100
JNJ,2023.05.31,142.54,143.46,141.76,142.88,11324600
JNJ,2023.06.01,142.4,142.86,141.12,142.4,7901300
JNJ,2023.06.02,142.56,144.95,141.98,144.64,7659700
JNJ,2023.06.05,144.43,146.18,144.43,145.88,6430500
JNJ,2023.06.06,147.04,147.07,145.03,145.75,5073600
JNJ,2023.06.07,145.68,146.32,145.07,146.06,6504300
JNJ,2023.06.08,146.05,147.82,145.42,147.67,5818400
JNJ,2023.06.09,147.82,148.1,146.94,147.44,6264400
JNJ,2023.06.12,147.43,147.66,146.26,147.34,6510600
JNJ,2023.06.13,147.18,148.2,146.65,148.11,6066800
JNJ,2023.06.14,148.9,149.34,148.33,148.87,6699100
JNJ,2023.06.15,149.32,151.03,148.75,150.87,7138300
