sym,date,open,high,low,close,volume
KO,2023.03.06,54.15,55.17,54.11,55.15,16282700
KO,2023.03.07,55.27,55.34,54.6,54.83,13961200
KO,2023.03.08,54.86,55.13,54.58,54.86,10851600
KO,2023.03.09,55.32,55.32,54.17,54.33,13900900
KO,2023.03.10,54.55,54.95,53.9,54.1,13745800
KO,2023.03.13,54.17,55.62,54.14,54.65,21956000
KO,2023.03.14,54.82,55.24,54.23,54.85,19496900
KO,2023.03.15,54.3,55.26,54.13,55.22,21089900
KO,2023.03.16,55.33,55.56,54.97,55.52,15658300
KO,2023.03.17,55.53,55.57,54.91,55.26,27351200
KO,2023.03.20,55.39,55.8,55.22,55.8,12904100
KO,2023.03.21,55.77,55.93,55.13,55.54,13716500
KO,2023.03.22,55.61,56.05,55.27,55.29,10494200
KO,2023.03.23,55.33,55.6,54.99,55.17,15479000
KO,2023.03.24,55.47,56.18,55.16,56.07,12975600
KO,2023.03.27,56.29,56.61,56.12,56.49,12777400
KO,2023.03.28,56.52,56.85,56.41,56.55,10925700
KO,2023.03.29,56.83,57.04,56.71,56.96,9441000
KO,2023.03.30,56.98,57.17,56.77,56.95,9870700
KO,2023.03.31,57.14,57.32,56.97,57.11,14440900
KO,2023.04.03,57.36,57.56,56.96,57.45,12300700
KO,2023.04.04,57.44,57.77,57.16,57.28,11433400
KO,2023.04.05,57.57,58.02,57.55,57.82,12789600
KO,2023.04.06,57.88,58.04,57.44,57.86,9644200
KO,2023.04.10,57.54,57.72,57.1,57.72,7952600
KO,2023.04.11,57.68,57.74,57.45,57.62,9913000
KO,2023.04.12,57.53,58.03,57.37,57.72,9593700
KO,2023.04.13,57.79,58.15,57.53,58.14,9871400
KO,2023.04.14,58.05,58.14,57.8,58.05,8946000
KO,2023.04.17,58.3,58.49,58.14,58.43,9452400
KO,2023.04.18,58.48,58.56,58.18,58.52,9035700
KO,2023.04.19,58.68,58.77,58.4,58.63,9769500
KO,2023.04.20,58.59,58.93,58.41,58.89,10706400
KO,2023.04.21,58.93,59.18,58.74,58.97,12931100
KO,2023.04.24,59.62,59.84,58.58,58.88,15532300
KO,2023.04.25,59.08,59.08,58.59,58.79,12818900
KO,2023.04.26,58.52,58.72,58.37,58.51,13179600
KO,2023.04.27,58.49,58.71,58.11,58.63,13795800
KO,2023.04.28,58.57,59.07,58.45,59.07,13687600
KO,2023.05.01,59.07,59.56,58.98,59.2,9091500
KO,2023.05.02,59.06,59.06,58.25,58.94,10948400
KO,2023.05.03,58.95,59.09,58.54,58.6,11084600
KO,2023.05.04,58.69,58.86,58.48,58.67,11938300
KO,2023.05.05,58.6,59.12,58.59,58.95,9039000
KO,2023.05.08,58.75,58.98,58.57,58.85,7240700
KO,2023.05.09,58.6,58.7,58.26,58.37,9067700
KO,2023.05.10,58.3,58.6,58.0,58.47,10134000
KO,2023.05.11,58.54,58.86,58.02,58.8,9581500
KO,2023.05.12,58.8,59.1,58.65,59.03,8740800
KO,2023.05.15,59.13,59.16,58.66,58.87,8150000
KO,2023.05.16,58.84,58.84,58.15,58.21,9129600
KO,2023.05.17,58.37,58.39,57.76,58.14,11583000
KO,2023.05.18,58.02,58.04,57.61,57.82,13595100
KO,2023.05.19,58.04,58.1,57.65,57.85,14251400
KO,2023.05.22,57.81,57.89,56.57,56.63,15055400
KO,2023.05.23,56.63,56.78,56.32,56.53,13932700
KO,2023.05.24,56.51,56.56,55.91,56.05,11090100
KO,2023.05.25,55.68,55.92,55.38,55.62,14463600
KO,2023.05.26,55.66,55.83,55.35,55.48,12570300
KO,2023.05.30,55.33,55.43,54.8,55.04,15634200
KO,2023.05.31,55.17,55.5,54.66,54.93,59432200
KO,2023.06.01,55.19,55.4,55.03,55.24,13402700
KO,2023.06.02,55.49,56.46,55.32,56.31,15259800
KO,2023.06.05,56.16,56.57,55.75,55.93,12915600
KO,2023.06.06,56.12,56.16,55.35,55.53,10943500
KO,2023.06.07,55.25,55.58,55.08,55.45,16817900
KO,2023.06.08,55.36,55.62,55.23,55.58,15585900
KO,2023.06.09,55.49,55.86,55.4,55.68,12581500
KO,2023.06.12,55.79,55.84,55.26,55.44,14208900
KO,2023.06.13,55.44,55.86,55.28,55.66,13397800
KO,2023.06.14,55.92,56.24,55.8,56.04,14099700
KO,2023.06.15,56.23,56.87,55.98,56.81,15271400
KO,2023.06.16,57.15,57.68,57.04,57.21,26738000
KO,2023.06.20,57.14,57.48,56.82,56.83,13971800
KO,2023.06.21,56.88,57.26,56.57,56.99,13948700
KO,2023.06.22,57.34,57.61,57.14,57.38,15193400
KO,2023.06.23,57.46,57.49,56.76,56.78,25112100
KO,2023.06.26,56.79,56.86,56.03,56.8,12856100
KO,2023.06.27,56.8,56.93,56.57,56.68,9068500
KO,2023.06.28,56.48,56.63,56.04,56.15,11173200
KO,2023.06.29,55.87,55.99,55.45,55.68,17142300
KO,2023.06.30,55.66,55.99,55.54,55.87,19739200
KO,2023.07.03,55.85,56.25,55.69,56.2,9694500
KO,2023.07.05,55.92,56.69,55.81,56.62,14716600
KO,2023.07.06,56.34,56.61,56.13,56.18,12603900
KO,2023.07.07,55.95,56.13,55.41,55.44,14574000
KO,2023.07.10,55.64,55.8,54.87,55.02,15480600
KO,2023.07.11,55.16,55.26,54.59,55.22,15967700
KO,2023.07.12,55.43,55.71,55.15,55.52,14241300
KO,2023.07.13,55.78,56.09,55.65,55.99,11269800
KO,2023.07.14,55.79,56.63,55.75,56.5,11634200
KO,2023.07.17,56.37,56.69,56.12,56.42,10014300
KO,2023.07.18,56.56,56.82,56.05,56.19,11152900
KO,2023.07.19,56.38,57.33,56.3,57.19,12936000
KO,2023.07.20,57.22,57.9,57.21,57.88,11563000
KO,2023.07.21,57.95,58.15,57.74,57.93,12815100
KO,2023.07.24,57.91,58.27,57.89,57.95,10251100
KO,2023.07.25,57.8,57.88,57.57,57.75,13422700
KO,2023.07.26,57.39,58.61,56.95,58.49,17145500
KO,2023.07.27,58.49,58.7,57.87,57.93,11517100
KO,2023.07.28,58.07,58.23,57.72,57.97,9721800
KO,2023.07.31,57.94,57.94,57.27,57.46,15577900
KO,2023.08.01,57.6,57.85,57.17,57.31,9281600
KO,2023.08.02,57.11,58.07,57.11,57.48,11059400
KO,2023.08.03,57.4,57.63,57.08,57.19,8037400
KO,2023.08.04,57.22,57.42,56.24,56.32,9359300
KO,2023.08.07,56.4,56.9,56.35,56.77,6982600
KO,2023.08.08,56.77,56.92,56.24,56.52,7956100
KO,2023.08.09,56.51,57.18,56.36,56.65,7904100
KO,2023.08.10,56.92,57.27,56.4,56.52,7870300
KO,2023.08.11,56.44,56.78,56.31,56.75,8483900
KO,2023.08.14,56.89,57.04,56.36,56.48,7176300
KO,2023.08.15,56.31,56.5,56.01,56.1,7187400
KO,2023.08.16,56.17,56.43,56.04,56.11,8372300
KO,2023.08.17,56.2,56.61,56.08,56.23,12873500
KO,2023.08.18,56.17,56.68,56.01,56.55,11083800
KO,2023.08.21,56.46,56.53,55.96,56.06,8648500
KO,2023.08.22,55.98,56.2,55.65,55.72,9411500
KO,2023.08.23,55.85,56.07,55.81,55.92,7749500
KO,2023.08.24,55.92,56.48,55.75,55.77,8955100
KO,2023.08.25,56.05,56.19,55.67,56.03,7629200
KO,2023.08.28,56.18,56.34,56.01,56.18,6254300
KO,2023.08.29,56.18,56.25,55.8,56.13,8189600
KO,2023.08.30,56.26,56.35,55.93,56.1,9447900
KO,2023.08.31,55.94,56.1,55.49,55.51,14663500
KO,2023.09.01,55.66,55.79,54.85,55.02,11262300
KO,2023.09.05,54.97,55.03,54.43,54.57,12474600
KO,2023.09.06,54.38,54.58,54.2,54.53,13923500
KO,2023.09.07,54.69,54.89,54.09,54.12,17628600
KO,2023.09.08,54.09,54.19,53.82,54.12,14312300
KO,2023.09.11,54.18,54.73,54.02,54.63,14767400
KO,2023.09.12,54.73,54.74,53.99,54.09,12292700
KO,2023.09.13,54.18,54.44,54.12,54.22,12641400
KO,2023.09.14,54.46,54.79,54.41,54.67,12311600
KO,2023.09.15,54.62,54.83,54.0,54.18,55727500
KO,2023.09.18,54.22,54.56,53.89,54.52,13617400
KO,2023.09.19,54.48,54.6,54.16,54.4,11998900
KO,2023.09.20,54.52,55.01,54.31,54.65,14766600
KO,2023.09.21,54.58,54.63,53.69,53.81,15941800
KO,2023.09.22,54.1,54.21,53.77,53.86,14644100
KO,2023.09.25,53.68,53.76,53.06,53.3,12358800
KO,2023.09.26,53.05,53.21,52.74,52.86,11194700
KO,2023.09.27,52.76,52.86,52.07,52.32,13766300
KO,2023.09.28,52.58,52.67,52.09,52.19,12484800
KO,2023.09.29,52.5,52.62,52.01,52.35,12271600
KO,2023.10.02,52.28,52.38,51.51,51.88,11792500
KO,2023.10.03,51.58,51.83,51.23,51.32,13604200
KO,2023.10.04,51.33,51.69,51.16,51.47,12100500
KO,2023.10.05,51.19,51.38,48.85,48.98,29878100
KO,2023.10.06,48.66,49.83,48.2,49.69,30298900
KO,2023.10.09,49.52,49.7,48.73,49.45,15704700
KO,2023.10.10,50.62,50.8,50.08,50.52,20909700
KO,2023.10.11,50.7,50.76,49.58,50.22,21138900
KO,2023.10.12,50.27,50.34,49.03,49.38,19330400
KO,2023.10.13,49.32,49.95,49.22,49.46,14494600
KO,2023.10.16,49.58,50.08,49.41,49.96,12816800
