sym,date,open,high,low,close,volume
META,2023.03.06,186.7,188.34,183.36,183.62,33209400
META,2023.03.07,187.69,189.04,182.73,183.23,36701500
META,2023.03.08,181.6,183.97,180.08,183.69,19432400
META,2023.03.09,185.06,187.62,179.05,180.43,26582800
META,2023.03.10,179.75,183.49,177.56,178.26,25665000
META,2023.03.13,176.73,182.51,173.61,179.65,24728000
META,2023.03.14,186.28,192.97,185.27,192.67,41642600
META,2023.03.15,191.61,196.41,189.52,196.38,42123600
META,2023.03.16,196.88,204.33,194.73,203.51,50447100
META,2023.03.17,199.17,200.5,194.07,194.25,50141100
META,2023.03.20,197.1,197.98,192.3,196.44,25186300
META,2023.03.21,201.79,202.14,196.58,200.76,31827000
META,2023.03.22,201.1,205.93,198.28,198.42,28477800
META,2023.03.23,201.43,206.44,200.75,202.86,27389700
META,2023.03.24,203.76,206.14,202.14,204.58,27716400
META,2023.03.27,203.39,204.43,199.96,201.43,18527200
META,2023.03.28,198.76,199.64,196.53,199.29,19127300
META,2023.03.29,202.15,204.29,201.13,203.93,18851100
META,2023.03.30,201.97,206.65,201.41,206.4,22608300
META,2023.03.31,205.8,210.7,205.34,210.47,25440300
META,2023.04.03,207.39,212.01,206.76,211.59,17924600
META,2023.04.04,211.91,214.74,211.07,213.23,21026400
META,2023.04.05,212.66,213.7,208.48,210.01,19396600
META,2023.04.06,207.8,215.44,207.2,214.6,26104400
META,2023.04.10,213.22,214.16,209.2,213.26,16106100
META,2023.04.11,213.99,214.52,211.93,212.37,16710100
META,2023.04.12,213.35,215.34,211.11,212.52,18972200
META,2023.04.13,214.23,219.62,214.19,218.82,23310400
META,2023.04.14,216.37,220.57,216.04,219.95,21591200
META,2023.04.17,218.27,219.45,215.62,217.34,15481900
META,2023.04.18,218.38,218.91,214.71,216.38,12281000
META,2023.04.19,211.99,215.82,211.45,214.2,15898100
META,2023.04.20,212.0,215.25,211.29,211.59,16475400
META,2023.04.21,208.75,211.93,208.13,211.41,17717200
META,2023.04.24,212.2,212.44,209.25,211.31,15750900
META,2023.04.25,209.36,209.79,205.69,206.11,19198200
META,2023.04.26,211.03,212.62,207.43,207.95,41992700
META,2023.04.27,238.23,240.01,235.13,236.91,71196500
META,2023.04.28,237.35,238.76,234.11,238.65,39554000
META,2023.05.01,236.96,242.31,234.82,241.49,29143900
META,2023.05.02,241.49,243.22,237.33,237.58,24350100
META,2023.05.03,237.81,240.07,231.14,235.39,34463900
META,2023.05.04,234.42,236.55,231.31,231.9,17889400
META,2023.05.05,230.63,233.05,228.26,231.17,27000500
META,2023.05.08,229.81,233.99,228.67,231.65,16400500
META,2023.05.09,229.85,234.24,229.48,231.75,16865600
META,2023.05.10,234.53,235.11,229.12,231.46,19119000
META,2023.05.11,231.43,236.56,230.69,234.15,20449000
META,2023.05.12,235.1,235.32,229.84,232.19,16161400
META,2023.05.15,235.28,238.59,233.7,237.2,20653200
META,2023.05.16,234.15,237.98,233.89,237.16,18163800
META,2023.05.17,236.8,242.15,236.49,240.81,21193100
META,2023.05.18,239.63,245.38,239.52,245.14,22943300
META,2023.05.19,245.75,246.96,241.72,243.94,21733600
META,2023.05.22,243.71,251.81,243.42,246.6,27738500
META,2023.05.23,245.1,249.86,244.94,245.03,17748100
META,2023.05.24,243.58,247.86,243.25,247.48,17724300
META,2023.05.25,251.64,253.85,247.44,250.94,22371400
META,2023.05.26,251.18,260.49,250.96,260.22,25727200
META,2023.05.30,263.41,266.79,259.48,260.7,23816500
META,2023.05.31,258.2,263.16,256.66,262.88,25473700
META,2023.06.01,264.06,272.1,264.05,270.72,25609500
META,2023.06.02,270.77,273.44,269.24,270.72,19416900
META,2023.06.05,268.42,273.66,267.69,269.51,20742900
META,2023.06.06,268.27,274.65,267.82,269.24,19419000
META,2023.06.07,269.79,272.35,260.98,261.77,26163600
META,2023.06.08,258.81,265.79,257.08,262.74,20899400
META,2023.06.09,260.66,266.09,259.88,263.11,16949800
META,2023.06.12,265.32,269.86,263.49,269.17,15442500
META,2023.06.13,272.97,273.81,267.22,269.44,16164000
META,2023.06.14,270.0,273.08,266.46,271.45,19175100
META,2023.06.15,270.41,282.02,269.54,279.87,25973500
META,2023.06.16,282.77,285.85,278.19,279.05,43127700
META,2023.06.20,276.8,282.82,274.3,282.36,20701600
META,2023.06.21,281.56,282.03,276.43,279.69,20556200
META,2023.06.22,277.14,283.28,275.86,282.9,17563100
META,2023.06.23,279.56,287.66,277.01,286.73,51092000
META,2023.06.26,286.7,287.78,275.67,276.54,24232700
