sym,date,open,high,low,close,volume
NVDA,2023.03.06,23.87,24.22,23.46,23.53,437429000
NVDA,2023.03.07,23.58,24.1,23.22,23.27,515154000
NVDA,2023.03.08,23.47,24.18,23.4,24.16,513573000
NVDA,2023.03.09,24.15,24.43,23.36,23.42,501257000
NVDA,2023.03.10,23.39,23.61,22.71,22.95,474866000
NVDA,2023.03.13,22.73,23.28,22.28,22.95,421890000
NVDA,2023.03.14,23.48,24.2,23.44,24.04,474910000
NVDA,2023.03.15,23.74,24.27,23.34,24.21,524486000
NVDA,2023.03.16,24.01,25.57,23.87,25.52,583253000
NVDA,2023.03.17,25.96,26.38,25.65,25.7,848547000
NVDA,2023.03.20,25.59,26.0,25.11,25.88,432747000
NVDA,2023.03.21,26.16,26.37,25.36,26.18,547408000
NVDA,2023.03.22,26.4,27.57,26.22,26.45,797295000
NVDA,2023.03.23,27.09,27.48,26.67,27.17,564889000
NVDA,2023.03.24,27.01,27.14,26.33,26.76,454920000
NVDA,2023.03.27,26.81,26.98,26.34,26.51,361026000
NVDA,2023.03.28,26.43,26.49,25.83,26.39,356104000
NVDA,2023.03.29,26.8,27.06,26.57,26.96,393694000
NVDA,2023.03.30,27.21,27.48,27.08,27.36,364516000
NVDA,2023.03.31,27.12,27.81,27.08,27.75,433933000
NVDA,2023.04.03,27.49,27.98,27.31,27.94,398716000
NVDA,2023.04.04,27.94,27.98,27.28,27.43,368592000
NVDA,2023.04.05,26.81,26.98,26.37,26.86,515015000
NVDA,2023.04.06,26.56,27.06,26.41,27.01,397654000
NVDA,2023.04.10,26.8,27.6,26.65,27.56,395279000
NVDA,2023.04.11,27.7,27.77,27.1,27.15,314378000
NVDA,2023.04.12,27.35,27.45,26.43,26.47,446259000
NVDA,2023.04.13,26.71,26.86,26.31,26.44,353615000
NVDA,2023.04.14,26.48,26.86,26.2,26.74,395660000
NVDA,2023.04.17,26.54,26.98,26.41,26.98,321471000
NVDA,2023.04.18,27.51,28.09,27.33,27.64,604812000
NVDA,2023.04.19,27.34,27.98,27.21,27.91,358660000
NVDA,2023.04.20,27.65,28.01,26.98,27.08,427713000
NVDA,2023.04.21,26.93,27.16,26.7,27.1,345103000
NVDA,2023.04.24,26.99,27.34,26.65,27.02,339282000
NVDA,2023.04.25,27.06,27.22,26.2,26.22,378527000
NVDA,2023.04.26,26.98,27.31,26.68,26.93,406337000
NVDA,2023.04.27,27.34,27.47,26.6,27.2,377161000
NVDA,2023.04.28,27.2,27.73,27.05,27.73,292216000
NVDA,2023.05.01,27.82,29.03,27.76,28.89,570329000
NVDA,2023.05.02,28.66,28.81,28.06,28.19,402730000
NVDA,2023.05.03,27.82,28.34,27.45,27.78,383387000
NVDA,2023.05.04,27.63,27.84,27.22,27.54,321850000
NVDA,2023.05.05,27.8,28.73,27.71,28.66,361494000
NVDA,2023.05.08,28.5,29.2,28.33,29.13,344979000
NVDA,2023.05.09,28.88,28.95,28.43,28.55,314869000
NVDA,2023.05.10,28.98,29.09,28.44,28.86,369350000
NVDA,2023.05.11,28.87,28.93,28.22,28.55,322149000
NVDA,2023.05.12,28.51,28.76,28.02,28.32,274222000
NVDA,2023.05.15,28.48,28.94,28.13,28.93,293926000
NVDA,2023.05.16,28.82,29.85,28.81,29.19,449405000
NVDA,2023.05.17,29.56,30.17,29.41,30.15,432535000
NVDA,2023.05.18,30.38,31.8,30.29,31.65,748725000
NVDA,2023.05.19,31.51,31.55,30.89,31.24,473908000
NVDA,2023.05.22,30.88,31.49,30.65,31.15,372000000
NVDA,2023.05.23,30.97,31.26,30.61,30.66,356253000
NVDA,2023.05.24,30.18,30.58,29.78,30.51,721419000
NVDA,2023.05.25,38.49,39.45,36.6,37.95,1543911000
NVDA,2023.05.26,37.86,39.14,37.52,38.91,714397000
NVDA,2023.05.30,40.56,41.9,39.92,40.08,923401000
NVDA,2023.05.31,39.46,40.26,37.79,37.8,1002580000
NVDA,2023.06.01,38.46,40.02,38.31,39.74,635873000
NVDA,2023.06.02,40.06,40.47,39.03,39.29,482731000
NVDA,2023.06.05,38.88,39.53,38.67,39.14,396094000
NVDA,2023.06.06,38.8,39.13,38.12,38.62,388729000
NVDA,2023.06.07,38.89,39.47,37.33,37.45,511998000
NVDA,2023.06.08,37.7,38.84,37.48,38.48,417772000
NVDA,2023.06.09,39.01,39.68,38.54,38.74,427717000
NVDA,2023.06.12,39.17,39.5,38.59,39.45,388701000
NVDA,2023.06.13,40.16,41.07,39.71,40.99,613208000
NVDA,2023.06.14,40.79,42.97,40.52,42.97,740465000
NVDA,2023.06.15,42.57,43.26,42.12,42.62,568622000
NVDA,2023.06.16,43.42,43.69,42.63,42.66,655709000
NVDA,2023.06.20,42.97,43.96,42.64,43.78,451153000
NVDA,2023.06.21,43.47,43.58,42.05,43.01,551603000
NVDA,2023.06.22,42.22,43.39,42.2,42.99,417737000
NVDA,2023.06.23,42.43,42.78,41.98,42.18,358140000
NVDA,2023.06.26,42.43,42.73,40.07,40.6,594322000
NVDA,2023.06.27,40.77,41.91,40.42,41.85,462175000
NVDA,2023.06.28,40.63,41.81,40.49,41.09,582639000
NVDA,2023.06.29,41.53,41.57,40.57,40.79,380514000
NVDA,2023.06.30,41.65,42.52,41.47,42.27,501148000
NVDA,2023.07.03,42.49,42.87,42.17,42.38,198209000
NVDA,2023.07.05,42.1,43.15,42.05,42.29,323618000
NVDA,2023.07.06,41.81,42.15,41.32,42.07,303582000
NVDA,2023.07.07,42.29,43.18,42.15,42.47,355881000
NVDA,2023.07.10,42.63,42.78,41.62,42.15,353908000
NVDA,2023.07.11,42.45,42.73,42.04,42.37,298244000
NVDA,2023.07.12,43.0,43.9,42.75,43.87,481277000
NVDA,2023.07.13,44.49,46.12,44.46,45.94,478204000
NVDA,2023.07.14,46.55,48.05,45.03,45.44,772075000
NVDA,2023.07.17,46.26,46.46,45.23,46.43,510488000
NVDA,2023.07.18,46.67,47.86,45.7,47.46,569164000
NVDA,2023.07.19,47.43,47.78,46.71,47.04,427502000
NVDA,2023.07.20,46.47,47.05,45.03,45.49,537865000
NVDA,2023.07.21,45.75,45.83,44.07,44.28,963769000
NVDA,2023.07.24,44.7,45.08,44.01,44.58,382516000
NVDA,2023.07.25,44.91,46.15,44.89,45.65,348081000
NVDA,2023.07.26,45.99,46.02,44.6,45.42,364237000
NVDA,2023.07.27,46.49,47.36,45.72,45.87,455976000
NVDA,2023.07.28,46.63,46.99,46.35,46.72,331194000
NVDA,2023.07.31,46.72,47.1,46.47,46.7,251055000
NVDA,2023.08.01,46.43,46.87,45.99,46.47,237858000
NVDA,2023.08.02,45.8,45.81,43.36,44.24,530142000
NVDA,2023.08.03,43.77,45.09,43.77,44.48,324176000
NVDA,2023.08.04,44.95,45.61,44.36,44.65,362666000
NVDA,2023.08.07,45.08,45.51,44.53,45.38,322154000
NVDA,2023.08.08,44.82,45.21,44.02,44.63,353843000
NVDA,2023.08.09,44.24,44.28,42.1,42.52,586449000
NVDA,2023.08.10,42.13,43.54,41.8,42.36,492705000
NVDA,2023.08.11,41.72,41.99,40.61,40.83,533085000
NVDA,2023.08.14,40.46,43.77,40.28,43.72,690286000
NVDA,2023.08.15,44.53,45.24,43.68,43.91,676512000
NVDA,2023.08.16,44.49,44.64,43.37,43.45,527451000
NVDA,2023.08.17,43.94,44.03,42.97,43.31,452395000
NVDA,2023.08.18,42.6,43.55,41.63,43.27,583768000
NVDA,2023.08.21,44.46,47.03,44.19,46.93,692573000
NVDA,2023.08.22,48.1,48.15,45.3,45.63,755293000
NVDA,2023.08.23,45.83,47.17,45.18,47.08,779046000
NVDA,2023.08.24,50.18,50.23,47.12,47.13,1156044000
NVDA,2023.08.25,46.98,47.77,44.99,45.98,925341000
NVDA,2023.08.28,46.45,46.95,44.86,46.8,685192000
NVDA,2023.08.29,46.63,49.05,46.36,48.75,701397000
NVDA,2023.08.30,49.01,49.89,48.39,49.23,735206000
NVDA,2023.08.31,49.34,49.71,48.92,49.32,528570000
NVDA,2023.09.01,49.73,49.76,48.11,48.47,463830000
NVDA,2023.09.05,48.19,48.82,47.83,48.51,382653000
NVDA,2023.09.06,48.41,48.52,46.55,47.03,468670000
NVDA,2023.09.07,45.5,46.31,45.12,46.21,433330000
NVDA,2023.09.08,45.91,46.58,45.24,45.54,473069000
NVDA,2023.09.11,46.12,46.13,44.28,45.15,473966000
NVDA,2023.09.12,44.71,45.64,44.5,44.84,349256000
NVDA,2023.09.13,44.57,45.9,44.47,45.46,398355000
NVDA,2023.09.14,45.92,45.96,45.1,45.55,370097000
NVDA,2023.09.15,45.31,45.57,43.78,43.87,506831000
NVDA,2023.09.18,42.72,44.21,41.97,43.94,500271000
NVDA,2023.09.19,43.8,43.94,42.97,43.49,373064000
NVDA,2023.09.20,43.57,43.87,42.2,42.21,367108000
NVDA,2023.09.21,41.56,42.07,40.95,40.99,450736000
NVDA,2023.09.22,41.55,42.09,41.2,41.58,479236000
NVDA,2023.09.25,41.56,42.51,41.15,42.19,419091000
NVDA,2023.09.26,41.97,42.79,41.63,41.88,402282000
NVDA,2023.09.27,42.3,42.84,41.6,42.44,444935000
NVDA,2023.09.28,42.43,43.42,42.09,43.06,424663000
NVDA,2023.09.29,43.8,44.12,43.28,43.47,397830000
NVDA,2023.10.02,44.0,45.15,43.83,44.75,433298000
NVDA,2023.10.03,44.78,45.1,43.22,43.49,470850000
NVDA,2023.10.04,43.71,44.11,43.26,44.01,361821000
NVDA,2023.10.05,44.02,44.87,43.86,44.66,393483000
NVDA,2023.10.06,44.16,45.76,44.0,45.73,434436000
NVDA,2023.10.09,44.81,45.58,44.34,45.24,409675000
NVDA,2023.10.10,45.28,46.23,45.06,45.77,368582000
NVDA,2023.10.11,46.17,46.83,46.02,46.78,378137000
NVDA,2023.10.12,46.75,47.58,46.3,46.91,481325000
NVDA,2023.10.13,46.93,47.09,45.25,45.43,474115000
