sym,date,open,high,low,close,volume
PFE,2023.03.06,34.29,34.43,34.06,34.3,19434800
PFE,2023.03.07,34.26,34.32,33.46,33.66,23205800
PFE,2023.03.08,33.64,33.85,33.3,33.48,16756100
PFE,2023.03.09,33.72,33.85,32.8,32.93,18585100
PFE,2023.03.10,32.78,33.32,32.73,32.87,26328100
PFE,2023.03.13,32.76,33.8,32.76,33.26,35299400
PFE,2023.03.14,33.42,33.5,32.98,33.29,24583600
PFE,2023.03.15,33.18,33.82,32.93,33.61,25498400
PFE,2023.03.16,33.43,33.79,33.14,33.68,21095900
PFE,2023.03.17,33.9,34.04,33.37,33.46,57457800
PFE,2023.03.20,33.49,34.09,33.33,34.05,20825400
PFE,2023.03.21,34.09,34.14,33.63,33.93,19982000
PFE,2023.03.22,33.96,34.09,33.37,33.38,15444200
PFE,2023.03.23,33.52,33.79,33.38,33.53,16958100
PFE,2023.03.24,33.45,33.76,33.27,33.7,17218100
PFE,2023.03.27,33.83,33.89,33.35,33.56,20262800
PFE,2023.03.28,33.54,33.63,33.26,33.37,13537500
PFE,2023.03.29,33.51,33.6,33.37,33.58,14429500
PFE,2023.03.30,33.73,33.79,33.58,33.69,12634500
PFE,2023.03.31,33.84,34.07,33.61,34.04,23393600
PFE,2023.04.03,33.95,34.6,33.92,34.5,20817200
PFE,2023.04.04,34.58,34.65,34.01,34.13,19514500
PFE,2023.04.05,34.45,35.23,34.35,34.67,29697600
PFE,2023.04.06,34.99,35.13,34.52,34.63,25931800
PFE,2023.04.10,34.34,34.83,34.31,34.82,15137300
PFE,2023.04.11,34.88,35.04,34.79,34.87,15304100
PFE,2023.04.12,34.74,34.87,34.44,34.52,17035100
PFE,2023.04.13,34.65,34.79,34.46,34.6,22880900
PFE,2023.04.14,34.64,34.8,34.15,34.37,20627500
PFE,2023.04.17,34.31,34.44,34.18,34.36,17608600
PFE,2023.04.18,34.44,34.49,33.82,33.84,18541500
PFE,2023.04.19,33.73,33.84,33.54,33.58,17214300
PFE,2023.04.20,33.44,33.53,33.2,33.25,20131600
PFE,2023.04.21,33.45,33.63,33.3,33.55,19227100
PFE,2023.04.24,33.53,33.54,33.13,33.3,17633700
PFE,2023.04.25,33.17,33.31,32.78,32.82,24492400
PFE,2023.04.26,32.68,32.7,32.04,32.23,22401400
PFE,2023.04.27,32.22,32.4,31.97,32.32,22434000
PFE,2023.04.28,32.29,32.47,32.22,32.45,21015300
PFE,2023.05.01,32.54,32.98,32.42,32.72,23917800
PFE,2023.05.02,32.78,33.48,32.23,32.59,38834100
PFE,2023.05.03,32.71,32.87,32.01,32.08,27721900
PFE,2023.05.04,31.85,32.07,31.72,31.9,23675100
PFE,2023.05.05,32.02,32.12,31.78,32.12,19225100
PFE,2023.05.08,32.15,32.32,32.0,32.27,20101700
PFE,2023.05.09,32.11,32.27,32.03,32.11,15987900
PFE,2023.05.10,32.27,32.31,31.77,31.96,15858200
PFE,2023.05.11,31.71,31.76,31.38,31.7,28566400
PFE,2023.05.12,31.72,31.81,31.4,31.5,16541300
PFE,2023.05.15,31.46,31.51,31.22,31.34,16650400
PFE,2023.05.16,31.22,31.41,31.06,31.22,25451700
PFE,2023.05.17,31.19,31.25,30.79,31.0,23206400
PFE,2023.05.18,30.96,31.02,30.51,30.77,27772400
PFE,2023.05.19,30.91,31.76,30.8,31.01,33068300
PFE,2023.05.22,31.09,32.78,31.0,32.68,85718600
PFE,2023.05.23,32.51,33.86,32.05,33.43,75379500
PFE,2023.05.24,33.82,33.86,32.56,32.58,39326400
PFE,2023.05.25,32.48,32.48,31.76,31.91,30266600
PFE,2023.05.26,32.08,32.42,31.68,31.71,20234600
PFE,2023.05.30,31.51,31.51,31.14,31.22,24371100
PFE,2023.05.31,31.29,32.24,31.1,32.07,46166300
PFE,2023.06.01,32.15,32.23,31.8,32.07,20256100
PFE,2023.06.02,32.26,32.61,32.19,32.35,22736400
PFE,2023.06.05,32.46,32.91,32.45,32.6,18392200
PFE,2023.06.06,32.73,32.78,32.3,32.36,19508200
PFE,2023.06.07,32.35,32.94,32.16,32.8,25295100
PFE,2023.06.08,32.93,33.05,32.67,32.97,17347600
PFE,2023.06.09,33.13,33.39,32.78,32.87,19775100
PFE,2023.06.12,32.9,33.8,32.89,33.65,28334600
PFE,2023.06.13,33.46,34.05,33.27,33.97,26533800
PFE,2023.06.14,34.01,34.02,33.16,33.2,22056400
PFE,2023.06.15,33.24,33.59,33.13,33.53,19905900
PFE,2023.06.16,33.62,34.04,33.61,33.79,60338600
PFE,2023.06.20,33.49,33.63,33.17,33.18,26881200
PFE,2023.06.21,33.06,33.1,32.69,32.81,17982900
PFE,2023.06.22,32.84,32.89,32.4,32.67,18039800
PFE,2023.06.23,32.65,32.78,32.29,32.3,23492200
PFE,2023.06.26,31.22,31.25,30.5,31.11,56135500
PFE,2023.06.27,31.17,31.21,30.6,30.72,32414900
PFE,2023.06.28,30.79,30.82,30.39,30.61,30062000
PFE,2023.06.29,30.36,30.55,30.16,30.46,26284900
PFE,2023.06.30,30.54,31.0,30.48,30.94,30867900
PFE,2023.07.03,30.79,30.99,30.66,30.91,14115800
PFE,2023.07.05,30.85,31.22,30.69,30.75,26829400
PFE,2023.07.06,30.53,30.59,30.04,30.05,30177300
PFE,2023.07.07,29.96,30.17,29.82,29.97,22903300
PFE,2023.07.10,30.0,30.37,29.98,30.09,17777500
PFE,2023.07.11,30.06,30.4,30.04,30.38,17731300
PFE,2023.07.12,30.53,30.57,30.3,30.36,17229700
PFE,2023.07.13,30.37,30.67,30.3,30.41,16664400
PFE,2023.07.14,30.62,30.78,30.37,30.63,17915100
PFE,2023.07.17,30.46,30.46,30.18,30.25,20557300
PFE,2023.07.18,30.3,30.77,30.26,30.57,22808300
PFE,2023.07.19,30.65,30.95,30.54,30.73,18589700
PFE,2023.07.20,30.7,31.27,30.67,31.01,22358400
PFE,2023.07.21,31.04,31.57,31.04,31.54,24149700
PFE,2023.07.24,31.55,31.88,31.52,31.64,19414700
PFE,2023.07.25,31.54,31.81,31.25,31.26,21771000
PFE,2023.07.26,31.1,31.5,31.0,31.38,20983700
PFE,2023.07.27,31.43,31.56,30.86,30.87,25346300
PFE,2023.07.28,31.0,31.09,30.72,30.76,24054100
PFE,2023.07.31,30.86,30.86,30.63,30.75,40265200
PFE,2023.08.01,30.6,31.49,30.16,30.37,40931600
PFE,2023.08.02,30.39,30.61,30.09,30.15,34301600
PFE,2023.08.03,30.0,30.09,29.78,29.85,25676500
PFE,2023.08.04,29.81,30.14,29.56,29.87,25746500
PFE,2023.08.07,29.86,30.57,29.76,30.43,31069100
PFE,2023.08.08,31.02,31.02,30.18,30.39,25225500
PFE,2023.08.09,30.36,30.75,30.28,30.57,17210500
PFE,2023.08.10,30.55,30.78,30.36,30.46,18955200
PFE,2023.08.11,30.38,30.94,30.35,30.74,16609400
PFE,2023.08.14,30.55,31.14,30.55,30.76,20295500
PFE,2023.08.15,30.6,30.63,30.16,30.18,20484300
PFE,2023.08.16,29.97,30.4,29.84,30.26,22215600
PFE,2023.08.17,30.36,31.32,30.35,31.14,31113600
PFE,2023.08.18,31.09,31.43,30.97,31.26,24145100
PFE,2023.08.21,31.31,31.72,31.25,31.56,28496500
PFE,2023.08.22,31.56,31.68,30.46,31.42,18524100
PFE,2023.08.23,31.63,31.67,31.18,31.26,19370900
PFE,2023.08.24,31.11,31.25,30.75,30.84,19380800
PFE,2023.08.25,30.82,31.29,30.67,31.03,16421300
PFE,2023.08.28,31.08,31.15,30.73,30.88,15101900
PFE,2023.08.29,30.92,31.5,30.7,30.83,21076500
PFE,2023.08.30,30.86,30.92,30.55,30.62,16833000
PFE,2023.08.31,30.65,30.69,30.17,30.17,27919500
PFE,2023.09.01,30.39,30.75,30.36,30.51,17522500
PFE,2023.09.05,30.67,30.95,30.15,30.17,25856100
PFE,2023.09.06,30.07,30.09,29.22,29.31,35370200
PFE,2023.09.07,29.4,29.54,29.03,29.24,26777700
PFE,2023.09.08,29.19,29.33,29.04,29.21,19467700
PFE,2023.09.11,29.2,29.25,28.6,28.95,27574400
PFE,2023.09.12,28.97,29.18,28.78,29.12,17987200
PFE,2023.09.13,29.18,29.52,29.0,29.06,23853300
PFE,2023.09.14,29.2,29.32,28.98,29.12,23759900
PFE,2023.09.15,29.05,29.35,28.83,29.06,58063800
PFE,2023.09.18,29.1,29.1,28.52,28.69,25421900
PFE,2023.09.19,28.61,29.0,28.59,28.99,30323300
PFE,2023.09.20,29.06,29.07,28.61,28.67,24651400
PFE,2023.09.21,28.54,28.65,28.0,28.02,26980600
PFE,2023.09.22,28.21,28.22,27.72,27.88,28570800
PFE,2023.09.25,27.88,28.13,27.64,28.13,19443700
PFE,2023.09.26,27.9,28.11,27.6,27.63,26015500
PFE,2023.09.27,27.66,27.72,27.21,27.38,26430100
PFE,2023.09.28,27.34,27.56,27.09,27.37,28197600
PFE,2023.09.29,27.59,28.34,27.55,28.29,42421400
PFE,2023.10.02,28.1,28.96,27.94,28.95,44620600
PFE,2023.10.03,28.86,29.09,28.75,28.91,31059900
PFE,2023.10.04,28.95,29.06,28.15,28.41,23722300
PFE,2023.10.05,28.53,28.81,28.19,28.54,21279400
PFE,2023.10.06,28.59,28.62,28.2,28.25,23760400
PFE,2023.10.09,28.19,28.54,27.95,28.31,17468100
PFE,2023.10.10,28.21,28.48,28.15,28.29,19212100
PFE,2023.10.11,28.35,28.42,27.99,28.24,24221200
PFE,2023.10.12,28.24,28.33,27.95,28.08,21809900
PFE,2023.10.13,28.09,28.13,27.31,27.38,32388100
PFE,2023.10.16,28.0,28.93,27.77,28.37,63317400
PFE,2023.10.17,28.14,28.31,27.46,27.93,40015800
PFE,2023.10.18,27.75,27.87,26.77,26.79,30307600
