sym,date,open,high,low,close,volume
PG,2023.03.06,130.36,130.74,129.63,130.01,4943100
PG,2023.03.07,130.08,130.26,127.22,127.42,5606800
PG,2023.03.08,127.09,127.54,126.53,127.44,5518800
PG,2023.03.09,127.97,128.35,126.07,126.5,4467200
PG,2023.03.10,126.86,127.82,126.3,127.08,5928000
PG,2023.03.13,126.94,130.9,126.94,127.96,8337100
PG,2023.03.14,128.1,129.78,127.27,129.54,9219700
PG,2023.03.15,128.58,131.67,128.58,131.38,8823500
PG,2023.03.16,131.48,132.57,131.17,132.36,7063400
PG,2023.03.17,132.0,132.82,131.1,132.4,16018800
PG,2023.03.20,132.92,134.68,132.67,134.43,8379200
PG,2023.03.21,134.23,134.53,132.31,133.46,7753200
PG,2023.03.22,133.42,135.01,133.23,133.38,5729100
PG,2023.03.23,133.61,134.42,132.64,133.19,5788400
PG,2023.03.24,133.67,135.94,133.67,135.91,6144800
PG,2023.03.27,136.06,136.56,135.12,135.19,5917200
PG,2023.03.28,135.75,136.0,135.05,135.57,4213800
PG,2023.03.29,136.24,136.43,135.48,135.99,4987700
PG,2023.03.30,136.09,136.67,135.52,136.58,4117700
PG,2023.03.31,136.85,137.73,136.69,137.73,7685900
PG,2023.04.03,137.49,139.01,136.25,138.49,5721700
PG,2023.04.04,139.02,140.53,139.02,139.16,6714300
PG,2023.04.05,140.18,141.12,140.01,140.11,6094800
PG,2023.04.06,140.68,141.69,140.26,141.0,5399700
PG,2023.04.10,140.47,140.49,138.49,139.83,4891800
PG,2023.04.11,140.11,140.28,139.43,139.56,6311800
PG,2023.04.12,139.23,141.18,138.88,139.94,6137900
PG,2023.04.13,139.78,140.68,138.78,140.58,5489500
PG,2023.04.14,140.2,140.42,139.42,139.87,4478800
PG,2023.04.17,140.03,140.31,139.26,139.92,4296400
PG,2023.04.18,139.85,140.42,139.04,140.07,4158400
PG,2023.04.19,140.03,140.71,139.6,140.09,3837600
PG,2023.04.20,140.16,141.08,140.16,140.61,5370900
PG,2023.04.21,144.42,147.37,144.01,145.47,14876900
PG,2023.04.24,144.68,146.57,144.68,145.73,8109800
PG,2023.04.25,145.88,147.22,145.21,145.77,8341800
PG,2023.04.26,144.76,145.41,143.86,144.08,4843700
PG,2023.04.27,144.76,145.98,144.48,145.85,4805600
PG,2023.04.28,145.67,146.68,145.18,145.76,5754700
PG,2023.05.01,145.44,146.71,145.22,145.94,3844600
PG,2023.05.02,145.96,146.27,145.1,145.81,5262900
PG,2023.05.03,146.0,146.87,144.88,145.62,5775000
PG,2023.05.04,145.5,145.97,144.56,144.95,4892600
PG,2023.05.05,144.85,145.7,144.19,145.44,3989200
PG,2023.05.08,144.8,145.16,144.35,144.76,4950700
PG,2023.05.09,145.27,145.39,143.15,143.27,4472100
PG,2023.05.10,143.03,143.84,142.09,143.57,4754900
PG,2023.05.11,144.3,144.37,142.97,143.91,3495300
PG,2023.05.12,144.2,145.45,143.91,145.37,5252900
PG,2023.05.15,145.98,146.11,144.14,145.42,5414900
PG,2023.05.16,145.29,146.27,144.41,145.17,5591500
PG,2023.05.17,145.65,145.93,143.45,144.55,4286900
PG,2023.05.18,142.9,143.22,141.31,142.17,6997600
PG,2023.05.19,142.12,142.91,141.53,142.77,4754100
PG,2023.05.22,142.15,142.24,138.72,139.03,7876200
PG,2023.05.23,138.69,138.77,137.08,137.53,6116000
PG,2023.05.24,137.57,138.14,136.17,136.39,5755400
PG,2023.05.25,135.61,136.28,134.55,135.52,6510300
PG,2023.05.26,135.46,136.1,134.9,135.53,4716400
PG,2023.05.30,134.09,134.26,132.68,133.46,5561000
PG,2023.05.31,133.44,134.2,132.26,132.82,19854800
PG,2023.06.01,133.52,134.33,132.78,134.19,6091100
PG,2023.06.02,134.7,136.72,134.59,136.57,6124400
PG,2023.06.05,136.13,137.81,135.83,136.03,4753700
PG,2023.06.06,136.15,136.38,133.8,134.68,4635900
PG,2023.06.07,134.23,135.27,133.73,134.97,6194400
PG,2023.06.08,135.47,136.69,135.08,136.5,4863700
PG,2023.06.09,135.79,136.81,134.9,136.61,5569500
PG,2023.06.12,137.02,137.03,134.74,135.54,5354000
PG,2023.06.13,134.7,135.79,134.48,135.21,5321200
PG,2023.06.14,135.44,136.92,135.0,136.48,5693300
PG,2023.06.15,137.18,138.85,136.59,138.37,5863000
PG,2023.06.16,138.81,139.9,138.79,139.39,11244900
PG,2023.06.20,139.58,140.08,138.05,138.1,5340700
PG,2023.06.21,138.19,139.44,137.83,139.29,4649700
PG,2023.06.22,140.14,140.84,139.33,139.77,6666800
PG,2023.06.23,140.05,140.31,137.91,138.38,13843300
PG,2023.06.26,138.04,138.85,136.76,138.52,4353100
PG,2023.06.27,138.36,139.97,138.31,139.83,5445400
PG,2023.06.28,139.19,140.09,137.91,139.81,6733300
PG,2023.06.29,138.4,139.54,137.11,139.24,7343000
PG,2023.06.30,139.66,141.74,139.62,141.44,7058300
PG,2023.07.03,141.19,142.17,140.25,142.15,3996100
PG,2023.07.05,141.33,142.11,141.16,141.9,8279800
PG,2023.07.06,140.93,141.86,140.52,141.67,7958300
PG,2023.07.07,141.41,141.6,138.65,138.7,9169500
PG,2023.07.10,138.83,140.11,138.64,138.75,5529200
PG,2023.07.11,138.63,138.93,136.98,138.03,5150300
PG,2023.07.12,137.98,139.26,137.62,138.74,6764600
PG,2023.07.13,138.88,139.37,138.14,138.84,5561400
PG,2023.07.14,139.13,140.4,138.63,139.86,6128900
PG,2023.07.17,139.49,139.96,138.85,138.87,4625300
PG,2023.07.18,138.55,140.26,138.3,139.13,5351200
PG,2023.07.19,139.4,140.58,138.75,140.09,6203600
PG,2023.07.20,140.27,141.4,138.95,141.22,6445400
PG,2023.07.21,141.77,144.14,141.35,143.44,9938400
PG,2023.07.24,143.36,144.4,142.85,143.9,5549500
PG,2023.07.25,143.96,144.32,142.99,144.24,5883800
PG,2023.07.26,143.62,145.24,143.41,144.39,7013800
PG,2023.07.27,144.6,145.01,142.5,142.68,7191600
PG,2023.07.28,145.07,147.71,145.01,146.71,9397300
PG,2023.07.31,146.7,147.9,145.44,146.61,7955200
PG,2023.08.01,146.21,147.42,146.2,146.56,5718800
PG,2023.08.02,146.3,147.95,146.3,146.88,5636000
PG,2023.08.03,147.04,147.92,146.52,147.26,5792700
PG,2023.08.04,147.67,147.95,145.53,145.65,4785900
PG,2023.08.07,146.01,147.4,145.85,147.19,4107400
PG,2023.08.08,147.52,147.85,146.82,147.35,4625500
PG,2023.08.09,147.55,148.28,147.05,147.16,4293200
PG,2023.08.10,147.42,148.56,146.14,146.43,4307800
PG,2023.08.11,146.73,147.69,146.13,147.28,3862300
PG,2023.08.14,147.38,147.76,145.85,146.13,4297600
PG,2023.08.15,146.13,146.3,144.88,145.19,6921100
PG,2023.08.16,145.16,146.07,143.39,143.71,6356800
PG,2023.08.17,143.71,144.04,142.37,142.68,6419500
PG,2023.08.18,142.22,143.41,141.79,143.08,5448200
PG,2023.08.21,142.66,143.3,141.88,142.36,4504700
PG,2023.08.22,142.03,142.71,141.57,142.41,4195600
PG,2023.08.23,143.01,143.96,143.01,143.74,4522500
PG,2023.08.24,143.09,145.09,143.02,143.08,4088900
PG,2023.08.25,143.88,144.52,143.0,144.02,3541500
PG,2023.08.28,144.18,144.79,143.56,144.24,3614700
PG,2023.08.29,144.4,144.49,142.6,144.33,4034600
PG,2023.08.30,144.54,145.26,144.18,144.49,3712200
PG,2023.08.31,144.56,145.54,144.29,144.77,5451400
PG,2023.09.01,145.29,145.65,144.04,144.93,4126300
PG,2023.09.05,144.26,145.25,142.95,142.98,5097000
PG,2023.09.06,142.84,142.99,142.14,142.7,3877400
PG,2023.09.07,143.03,144.63,142.92,144.06,4824800
PG,2023.09.08,143.9,143.94,142.9,143.44,3384700
PG,2023.09.11,143.82,145.48,143.58,145.15,4288500
PG,2023.09.12,145.38,145.53,142.17,142.6,4537800
PG,2023.09.13,142.55,144.06,142.25,143.59,4040600
PG,2023.09.14,144.31,145.31,143.86,145.17,4606800
PG,2023.09.15,144.48,145.69,143.73,143.95,10262400
PG,2023.09.18,144.87,144.9,143.99,144.49,3536500
PG,2023.09.19,144.21,144.5,142.33,144.07,4704200
PG,2023.09.20,144.23,145.18,143.85,143.95,5446400
PG,2023.09.21,143.93,144.18,142.64,142.7,5096400
PG,2023.09.22,142.98,143.83,141.99,142.18,6327000
PG,2023.09.25,141.8,141.9,140.71,141.31,5527000
PG,2023.09.26,140.68,141.03,139.56,140.06,6366500
PG,2023.09.27,140.15,140.41,137.53,138.2,5403700
PG,2023.09.28,138.65,138.8,136.64,137.26,6237100
PG,2023.09.29,137.45,137.67,135.84,136.81,6683300
PG,2023.10.02,135.8,136.57,134.97,136.18,5153800
PG,2023.10.03,136.17,137.4,136.02,136.47,4670600
PG,2023.10.04,136.56,137.23,135.94,136.92,4727800
PG,2023.10.05,136.64,137.03,134.78,134.88,5205700
PG,2023.10.06,134.69,135.59,132.68,135.15,7406700
PG,2023.10.09,134.47,135.04,132.82,134.47,5062200
PG,2023.10.10,135.05,136.21,134.81,135.8,5988900
PG,2023.10.11,136.14,136.53,133.72,134.13,5469100
PG,2023.10.12,133.93,135.0,132.87,134.43,5965600
PG,2023.10.13,134.31,136.03,134.31,135.72,7078900
PG,2023.10.16,136.81,137.94,136.44,137.01,6509800
PG,2023.10.17,137.05,137.71,136.23,137.19,6160100
PG,2023.10.18,140.75,141.92,139.54,140.72,10508500
PG,2023.10.19,141.22,141.85,138.92,139.93,8146000
PG,2023.10.20,140.69,141.47,139.62,139.74,7284200
PG,2023.10.23,139.56,141.11,139.28,139.84,5981800
PG,2023.10.24,139.81,141.65,139.76,141.49,6322000
PG,2023.10.25,141.24,142.71,140.75,142.15,6172900
PG,2023.10.26,142.58,142.89,141.34,141.4,7582100
PG,2023.10.27,140.62,141.54,138.07,138.9,8131800
PG,2023.10.30,139.6,141.16,139.26,140.89,5412800
PG,2023.10.31,141.07,141.83,140.3,141.61,6762100
PG,2023.11.01,142.23,142.23,140.84,141.22,5896900
PG,2023.11.02,141.15,143.14,140.56,142.94,5859200
PG,2023.11.03,143.27,143.75,141.23,141.65,6587700
PG,2023.11.06,141.92,142.76,141.68,142.47,6480800
PG,2023.11.07,142.45,142.76,141.7,142.14,6003800
PG,2023.11.08,142.49,142.72,141.12,141.59,4832600
PG,2023.11.09,141.34,141.91,140.75,141.91,6581500
PG,2023.11.10,142.38,142.94,141.51,142.91,5387200
PG,2023.11.13,142.95,144.32,142.95,143.91,6297500
PG,2023.11.14,143.99,144.89,143.17,143.58,7982600
PG,2023.11.15,143.53,143.84,141.94,142.92,7672600
PG,2023.11.16,143.46,144.31,142.82,144.26,7590500
PG,2023.11.17,144.15,144.26,142.42,142.59,8495600
PG,2023.11.20,141.78,142.56,141.26,141.84,6856500
PG,2023.11.21,141.44,141.59,140.48,141.22,7310400
PG,2023.11.22,141.68,142.98,141.68,142.55,4372700
PG,2023.11.24,142.7,143.23,142.56,142.89,2132500
PG,2023.11.27,143.02,143.13,142.28,142.75,6021300
PG,2023.11.28,142.67,144.2,142.67,143.75,6110400
