sym,date,open,high,low,close,volume
WMT,2023.03.06,45.15,45.31,45.0,45.2,16720800
WMT,2023.03.07,45.37,45.53,44.6,44.75,17387400
WMT,2023.03.08,44.53,44.64,44.12,44.38,19090800
WMT,2023.03.09,44.61,44.66,44.0,44.08,15415800
WMT,2023.03.10,44.03,44.44,43.73,44.02,20065200
WMT,2023.03.13,43.92,44.51,43.89,44.15,28142100
WMT,2023.03.14,44.25,44.43,44.03,44.38,25542600
WMT,2023.03.15,43.99,44.93,43.93,44.87,33133500
WMT,2023.03.16,44.99,45.06,44.49,44.62,28905600
WMT,2023.03.17,44.59,45.01,44.4,44.98,43081200
WMT,2023.03.20,45.21,45.79,45.11,45.47,33928500
WMT,2023.03.21,45.62,45.62,45.02,45.31,19013400
WMT,2023.03.22,45.38,45.57,45.0,45.02,18548400
WMT,2023.03.23,45.24,45.69,45.01,45.38,22044300
WMT,2023.03.24,45.5,45.97,45.37,45.76,22752300
WMT,2023.03.27,46.08,46.78,46.07,46.52,26775600
WMT,2023.03.28,46.35,46.6,46.16,46.34,21282900
WMT,2023.03.29,46.58,46.78,46.29,46.54,24216900
WMT,2023.03.30,46.95,47.3,46.79,47.0,21879000
WMT,2023.03.31,47.3,47.9,47.26,47.58,20868000
WMT,2023.04.03,47.67,48.06,47.59,47.98,19766700
WMT,2023.04.04,47.93,48.01,47.44,47.51,18113700
WMT,2023.04.05,47.49,48.36,47.48,48.3,26540700
WMT,2023.04.06,48.01,48.74,47.92,48.66,17891700
WMT,2023.04.10,48.52,48.76,48.33,48.57,14519100
WMT,2023.04.11,48.72,48.72,48.28,48.42,18370500
WMT,2023.04.12,48.33,48.71,48.13,48.19,11209800
WMT,2023.04.13,48.29,48.4,47.82,48.24,13272600
WMT,2023.04.14,48.09,48.37,47.8,47.91,10464900
WMT,2023.04.17,47.96,48.3,47.92,48.25,16166700
WMT,2023.04.18,48.33,48.51,48.22,48.35,13482300
WMT,2023.04.19,48.67,48.86,48.33,48.4,12433500
WMT,2023.04.20,48.47,48.85,48.27,48.71,13641600
WMT,2023.04.21,49.03,49.14,48.78,48.96,25335000
WMT,2023.04.24,48.95,49.35,48.95,49.29,13579500
WMT,2023.04.25,49.46,49.61,48.83,48.91,17246700
WMT,2023.04.26,48.72,48.86,48.47,48.7,12910200
WMT,2023.04.27,48.65,49.03,48.65,48.85,12861000
WMT,2023.04.28,48.82,49.1,48.46,48.71,14088600
WMT,2023.05.01,48.74,49.22,48.7,48.91,11409600
WMT,2023.05.02,48.88,48.88,48.23,48.78,11329500
WMT,2023.05.03,48.91,49.08,48.49,48.6,12334500
WMT,2023.05.04,48.76,48.91,48.42,48.74,14011200
WMT,2023.05.05,48.68,49.24,48.53,49.16,14556000
WMT,2023.05.08,49.0,49.54,48.93,49.47,14926200
WMT,2023.05.09,49.47,49.62,49.34,49.55,15209700
WMT,2023.05.10,49.78,49.99,48.98,49.41,15827700
WMT,2023.05.11,49.41,49.64,49.23,49.6,11926800
WMT,2023.05.12,49.75,49.9,49.46,49.58,16119300
WMT,2023.05.15,49.72,49.83,49.03,49.19,16113900
WMT,2023.05.16,48.86,49.08,48.45,48.51,15512100
WMT,2023.05.17,48.95,48.96,48.17,48.43,26985900
WMT,2023.05.18,49.17,49.98,48.57,49.06,46768500
WMT,2023.05.19,49.04,49.06,48.3,48.56,27594000
WMT,2023.05.22,48.49,48.61,48.03,48.13,16117800
WMT,2023.05.23,47.94,48.22,47.64,48.04,16302300
WMT,2023.05.24,48.1,48.11,47.39,47.82,20515200
WMT,2023.05.25,47.57,47.76,47.0,47.34,21299100
WMT,2023.05.26,47.19,47.56,47.12,47.43,15720900
WMT,2023.05.30,47.39,47.71,47.16,47.31,15742500
WMT,2023.05.31,47.1,47.71,46.97,47.57,30130800
WMT,2023.06.01,47.36,47.91,47.27,47.75,20239200
WMT,2023.06.02,47.69,48.26,47.65,48.2,19178100
WMT,2023.06.05,48.38,48.99,48.38,48.52,15553200
WMT,2023.06.06,48.49,48.65,48.1,48.51,15015600
WMT,2023.06.07,48.34,48.7,48.27,48.59,24256500
WMT,2023.06.08,48.71,49.37,48.52,49.29,18873000
