sym,date,open,high,low,close,volume
XOM,2023.03.06,101.12,102.79,101.01,102.76,14347400
XOM,2023.03.07,101.86,102.18,100.38,100.77,11525300
XOM,2023.03.08,100.43,101.5,98.48,99.3,13509800
XOM,2023.03.09,100.11,101.33,98.44,98.53,12961200
XOM,2023.03.10,98.92,100.26,96.75,97.32,15795700
XOM,2023.03.13,95.11,97.39,93.65,96.2,20745600
XOM,2023.03.14,96.02,98.43,94.77,96.56,18263500
XOM,2023.03.15,92.84,94.08,90.49,91.75,25733800
XOM,2023.03.16,89.49,91.81,88.5,91.22,27465200
XOM,2023.03.17,90.83,91.74,89.51,90.15,43199500
XOM,2023.03.20,89.96,92.53,89.84,92.5,32042100
XOM,2023.03.21,94.06,96.86,94.02,96.65,31592300
XOM,2023.03.22,96.43,96.77,94.41,94.43,14952700
XOM,2023.03.23,95.13,96.02,92.49,93.37,14385900
XOM,2023.03.24,91.62,93.77,91.11,93.48,13401600
XOM,2023.03.27,94.57,96.14,93.82,95.53,14805900
XOM,2023.03.28,95.2,97.2,94.98,96.72,11047600
XOM,2023.03.29,97.57,98.56,97.05,98.38,14219100
XOM,2023.03.30,98.91,98.93,97.98,98.86,11578200
XOM,2023.03.31,99.03,99.47,98.46,99.01,14418000
XOM,2023.04.03,102.38,105.5,102.14,104.85,28087700
XOM,2023.04.04,104.97,105.37,103.08,103.85,16365500
XOM,2023.04.05,104.15,105.64,103.21,105.63,16479500
XOM,2023.04.06,105.51,105.8,103.63,103.88,15778000
XOM,2023.04.10,103.64,104.9,103.08,103.42,13006600
XOM,2023.04.11,103.8,104.92,103.27,104.15,11758500
XOM,2023.04.12,104.88,105.27,103.77,104.04,10919000
XOM,2023.04.13,103.47,104.64,103.05,104.53,12399700
XOM,2023.04.14,104.65,105.33,103.94,104.78,11530800
XOM,2023.04.17,104.28,105.2,103.31,103.56,13260400
XOM,2023.04.18,103.28,105.83,103.2,105.59,17436100
XOM,2023.04.19,104.81,105.55,104.53,105.25,10682600
XOM,2023.04.20,103.95,104.45,102.24,104.41,17038700
XOM,2023.04.21,105.18,105.53,104.07,104.75,14315300
XOM,2023.04.24,104.66,107.35,104.63,106.72,15831300
XOM,2023.04.25,106.14,106.31,104.4,105.21,12179800
XOM,2023.04.26,104.76,105.72,103.55,104.24,15566100
XOM,2023.04.27,104.39,105.65,103.73,105.49,16279200
